Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
Tamim Iqbal,2011-2015,23,44,1,1673,206,38.9,3276,51.06,3,10,3,188,17
Shakib Al Hasan,2011-2015,21,38,5,1644,144,49.81,2494,65.91,2,14,0,190,11
Mushfiqur Rahim,2011-2015,25,43,3,1510,200,37.75,3102,48.67,2,9,4,179,14
Mominul Haque,2013-2015,17,30,4,1456,181,56,2655,54.83,4,9,1,172,1
Nasir Hossain,2011-2015,17,28,2,971,100,37.34,1737,55.9,1,6,1,110,10
Mahmudullah,2011-2015,18,32,0,916,76,28.62,1909,47.98,0,8,5,94,8
Imrul Kayes,2011-2015,11,20,1,799,150,42.05,1639,48.74,3,2,0,105,7
Shahriar Nafees,2011-2013,8,16,0,432,97,27,739,58.45,0,3,2,68,0
Mohammad Ashraful,2011-2013,6,12,1,431,190,39.18,982,43.89,1,1,1,48,1
Sohag Gazi,2012-2014,10,16,1,325,101,21.66,529,61.43,1,0,3,32,11
Shamsur Rahman,2014-2014,6,12,0,305,106,25.41,640,47.65,1,0,1,40,3
Naeem Islam,2011-2012,4,7,1,236,108,39.33,619,38.12,1,0,0,29,1
Jahurul Islam,2013-2013,4,8,1,233,48,33.28,622,37.45,0,0,0,24,2
Shuvagata Hom,2014-2015,7,13,3,213,50,21.3,391,54.47,0,1,3,24,0
Abul Hasan,2012-2013,3,5,3,165,113,82.5,278,59.35,1,0,0,17,5
Rubel Hossain,2011-2015,15,24,11,154,45,11.84,284,54.22,0,0,3,19,4
Taijul Islam,2014-2015,9,14,2,137,32,11.41,291,47.07,0,0,1,19,0
Shahadat Hossain,2011-2015,9,14,2,127,21,10.58,269,47.21,0,0,1,13,3
Marshall Ayub,2013-2014,3,6,0,125,41,20.83,291,42.95,0,0,0,13,1
Nazimuddin,2011-2012,3,6,0,125,78,20.83,320,39.06,0,1,2,17,2
Soumya Sarkar,2015-2015,3,5,0,107,37,21.4,176,60.79,0,0,0,16,0
Liton Das,2015-2015,3,3,0,97,50,32.33,158,61.39,0,1,0,15,1
Robiul Islam,2011-2014,8,15,4,90,33,8.18,186,48.38,0,0,6,12,3
Abdur Razzak,2011-2014,4,5,1,85,43,21.25,86,98.83,0,0,0,6,5
Anamul Haque,2013-2014,4,8,0,73,22,9.12,220,33.18,0,0,1,8,0
Al-Amin Hossain,2013-2014,6,9,6,68,32,22.66,103,66.01,0,0,0,6,5
Raqibul Hasan,2011-2011,2,4,1,68,41,22.66,201,33.83,0,0,1,3,0
Mohammad Shahid,2015-2015,5,6,1,57,25,11.4,81,70.37,0,0,0,10,1
Shafiul Islam,2011-2014,3,5,0,46,14,9.2,130,35.38,0,0,0,4,0
Elias Sunny,2011-2013,4,6,1,38,20,7.6,143,26.57,0,0,2,4,1
Junaid Siddique,2012-2012,1,2,0,27,20,13.5,56,48.21,0,0,0,2,0
Suhrawadi Shuvo,2011-2011,1,2,0,15,15,7.5,40,37.5,0,0,1,1,0
Ziaur Rahman,2013-2013,1,2,0,14,14,7,40,35,0,0,1,2,0
Jubair Hossain,2014-2015,6,5,2,13,7,4.33,88,14.77,0,0,1,1,0
Nazmul Hossain,2011-2011,1,2,1,8,8,8,12,66.66,0,0,1,0,1
Enamul Haque jnr,2013-2013,1,2,1,6,6,6,14,42.85,0,0,1,1,0
Sajedul Islam,2013-2013,1,2,0,4,4,2,28,14.28,0,0,1,0,0
Mustafizur Rahman,2015-2015,2,1,0,3,3,3,13,23.07,0,0,0,0,0
