Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
Mushfiqur Rahim,2010-2015,75,71,10,2381,117,39.03,2876,82.78,3,16,2,193,38
Tamim Iqbal,2010-2015,65,64,3,2103,132,34.47,2688,78.23,3,16,8,233,27
Shakib Al Hasan,2010-2015,58,54,8,1704,101,37.04,1983,85.93,1,15,2,147,13
Mahmudullah,2010-2015,62,55,15,1508,128,37.7,1930,78.13,2,9,5,134,15
Nasir Hossain,2011-2015,53,42,7,1190,100,34,1469,81,1,6,1,105,15
Anamul Haque,2012-2015,30,27,0,950,120,35.18,1357,70,3,3,4,91,16
Soumya Sarkar,2014-2015,16,16,2,692,127,49.42,675,102.51,1,4,0,92,15
Imrul Kayes,2010-2015,30,30,1,591,93,20.37,957,61.75,0,4,1,63,7
Mominul Haque,2012-2015,26,24,1,543,60,23.6,728,74.58,0,3,1,59,1
Naeem Islam,2010-2014,22,19,2,454,84,26.7,662,68.58,0,4,2,44,1
Sabbir Rahman,2014-2015,20,16,4,391,53,32.58,376,103.98,0,1,1,41,10
Shamsur Rahman,2013-2014,10,10,0,266,96,26.6,350,76,0,2,2,23,9
Junaid Siddique,2010-2011,12,12,1,261,56,23.72,425,61.41,0,2,0,19,3
Mashrafe Mortaza,2010-2015,43,27,6,245,39,11.66,250,98,0,0,2,27,8
Shahriar Nafees,2011-2011,11,11,0,225,60,20.45,377,59.68,0,2,2,24,0
Abdur Razzak,2010-2014,46,28,11,221,53,13,229,96.5,0,1,5,15,7
Sohag Gazi,2012-2014,20,16,4,184,30,15.33,213,86.38,0,0,0,18,4
Raqibul Hasan,2010-2011,9,9,1,154,65,19.25,249,61.84,0,1,3,9,2
Ziaur Rahman,2013-2014,13,11,0,124,41,11.27,110,112.72,0,0,3,13,6
Jahurul Islam,2012-2013,8,7,0,114,53,16.28,159,71.69,0,1,2,12,1
Mohammad Ashraful,2010-2013,14,13,0,114,29,8.76,211,54.02,0,0,2,16,0
Liton Das,2015-2015,6,6,1,100,36,20,124,80.64,0,0,1,11,1
Rubel Hossain,2011-2015,46,24,12,79,17,6.58,124,63.7,0,0,4,9,1
Shafiul Islam,2010-2014,33,18,5,75,24,5.76,134,55.97,0,0,6,8,1
Shuvagata Hom,2011-2011,4,3,1,70,35,35,86,81.39,0,0,0,9,0
Alok Kapali,2011-2011,4,4,0,65,20,16.25,116,56.03,0,0,0,5,0
Suhrawadi Shuvo,2010-2011,10,5,2,58,20,19.33,79,73.41,0,0,0,6,0
Nazimuddin,2012-2012,4,4,0,57,30,14.25,107,53.27,0,0,0,5,1
Arafat Sunny,2014-2015,13,8,6,27,14,13.5,74,36.48,0,0,1,2,0
Mohammad Mithun,2014-2014,2,1,0,26,26,26,39,66.66,0,0,0,5,0
Farhad Reza,2011-2011,2,2,0,22,21,11,35,62.85,0,0,0,2,0
Mustafizur Rahman,2015-2015,6,3,2,9,9,9,28,32.14,0,0,0,1,0
Jubair Hossain,2014-2015,3,1,0,5,5,5,9,55.55,0,0,0,1,0
Abul Hasan,2012-2015,6,2,0,4,3,2,9,44.44,0,0,0,0,0
Al-Amin Hossain,2014-2014,11,5,3,3,2,1.5,13,23.07,0,0,2,0,0
Taskin Ahmed,2014-2015,14,6,3,3,2,1,11,27.27,0,0,1,0,0
Elias Sunny,2011-2012,4,4,2,2,1,1,11,18.18,0,0,1,0,0
Nazmul Hossain,2011-2012,4,1,1,0,0,-,0,-,0,0,0,0,0
Robiul Islam,2013-2013,3,1,1,0,0,-,1,0,0,0,0,0,0
Shahadat Hossain,2012-2013,5,2,2,0,0,-,8,0,0,0,0,0,0
Taijul Islam,2014-2015,2,-,-,-,-,-,-,-,-,-,-,-,-
