Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,BBM,Ave,Econ,SR,5,10
Shakib Al Hasan,2011-2015,21,34,783.1,135,2487,72,6/59,10/124,34.54,3.17,65.2,7,1
Sohag Gazi,2012-2014,10,18,525.1,66,1599,38,6/74,9/219,42.07,3.04,82.9,2,0
Taijul Islam,2014-2015,9,16,374.5,53,1222,36,8/39,9/81,33.94,3.26,62.4,3,0
Robiul Islam,2011-2014,8,15,287,53,873,25,6/71,9/155,34.92,3.04,68.8,2,0
Rubel Hossain,2011-2015,15,25,409,54,1432,20,3/84,4/159,71.6,3.5,122.7,0,0
Jubair Hossain,2014-2015,6,9,119.1,10,493,16,5/96,7/152,30.81,4.13,44.6,1,0
Mahmudullah,2011-2015,18,27,263.4,29,881,15,3/70,3/113,58.73,3.34,105.4,0,0
Elias Sunny,2011-2013,4,7,143.5,11,518,12,6/94,7/128,43.16,3.6,71.9,1,0
Nasir Hossain,2011-2015,17,21,143.3,22,413,8,3/52,3/130,51.62,2.87,107.6,0,0
Shafiul Islam,2011-2014,3,6,100,25,256,8,2/17/2015,4/67,32,2.56,75,0,0
Shuvagata Hom,2014-2015,7,9,131,10,473,8,2/66,3/94,59.12,3.61,98.2,0,0
Abdur Razzak,2011-2014,4,6,156,24,471,7,3/147,3/263,67.28,3.01,133.7,0,0
Al-Amin Hossain,2013-2014,6,9,146.4,32,460,6,3/80,3/98,76.66,3.13,146.6,0,0
Shahadat Hossain,2011-2015,9,15,174.2,18,739,6,1/19/2015,2/70,123.16,4.23,174.3,0,0
Mohammad Shahid,2015-2015,5,6,105,30,288,5,2/23/2015,4/95,57.6,2.74,126,0,0
Mustafizur Rahman,2015-2015,2,2,22.4,6,58,4,4/37,4/58,14.5,2.55,34,0,0
Suhrawadi Shuvo,2011-2011,1,2,49.3,6,146,4,3/73,4/146,36.5,2.94,74.2,0,0
Ziaur Rahman,2013-2013,1,2,30,11,71,4,4/63,4/71,17.75,2.36,45,0,0
Abul Hasan,2012-2013,3,5,88,8,371,3,2/80,2/101,123.66,4.21,176,0,0
Enamul Haque jnr,2013-2013,1,2,60,7,178,3,3/133,3/178,59.33,2.96,120,0,0
Nazmul Hossain,2011-2011,1,2,29,6,80,3,2/61,3/80,26.66,2.75,58,0,0
Mohammad Ashraful,2011-2013,6,7,23.4,3,83,1,1/13/2015,1/13/2015,83,3.5,142,0,0
Mominul Haque,2013-2015,17,14,53.1,1,192,1,1/10/2015,1/20/2015,192,3.61,319,0,0
Soumya Sarkar,2015-2015,3,4,30.4,1,115,1,1/45,1/102,115,3.75,184,0,0
Imrul Kayes,2011-2015,11,3,3,0,5,0,-,-,-,1.66,-,0,0
Marshall Ayub,2013-2014,3,2,10,0,53,0,-,-,-,5.3,-,0,0
Naeem Islam,2011-2012,4,7,49.4,5,153,0,-,-,-,3.08,-,0,0
Raqibul Hasan,2011-2011,2,1,4,0,12,0,-,-,-,3,-,0,0
Sajedul Islam,2013-2013,1,2,19,6,57,0,-,-,-,3,-,0,0
Shamsur Rahman,2014-2014,6,1,1,0,5,0,-,-,-,5,-,0,0
Tamim Iqbal,2011-2015,23,1,1,0,10,0,-,-,-,10,-,0,0
Anamul Haque,2013-2014,4,-,-,-,-,-,-,-,-,-,-,-,-
Jahurul Islam,2013-2013,4,-,-,-,-,-,-,-,-,-,-,-,-
Junaid Siddique,2012-2012,1,-,-,-,-,-,-,-,-,-,-,-,-
Liton Das,2015-2015,3,-,-,-,-,-,-,-,-,-,-,-,-
Mushfiqur Rahim,2011-2015,25,-,-,-,-,-,-,-,-,-,-,-,-
Nazimuddin,2011-2012,3,-,-,-,-,-,-,-,-,-,-,-,-
Shahriar Nafees,2011-2013,8,-,-,-,-,-,-,-,-,-,-,-,-
