Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
V Kohli,2011-2016,121,116,16,*5385*,183,53.85,5816,92.58,20,24,7,497,59
RG Sharma,2011-2016,87,85,12,*3760*,264,51.5,4271,88.03,8,23,5,334,100
S Dhawan,2011-2016,73,72,3,*3078*,137,44.6,3408,90.31,9,17,1,363,38
MS Dhoni,2011-2016,93,79,26,*3014*,139*,56.86,3238,93.08,2,23,2,238,72
SK Raina,2011-2015,112,99,17,*2929*,110*,35.71,2993,97.86,2,20,9,250,63
AM Rahane,2011-2016,67,65,2,*2093*,111,33.22,2629,79.61,2,15,6,205,24
G Gambhir,2011-2013,37,37,1,*1361*,102,37.8,1673,81.35,2,11,3,130,1
RA Jadeja,2011-2016,91,65,25,*1314*,87,32.85,1483,88.6,0,6,2,107,28
AT Rayudu,2013-2015,31,28,7,*952*,124*,45.33,1219,78.09,2,5,1,78,13
R Ashwin,2011-2016,95,56,18,*620*,65,16.31,726,85.39,0,1,5,55,4
V Sehwag,2011-2013,18,18,0,*566*,219,31.44,522,108.42,1,1,3,75,8
SR Tendulkar,2011-2012,14,14,0,*473*,114,33.78,588,80.44,1,3,0,55,2
Yuvraj Singh,2011-2013,23,20,3,*469*,113,27.58,568,82.57,1,3,5,55,6
PA Patel,2011-2012,20,20,1,*446*,95,23.47,551,80.94,0,2,1,44,6
KD Karthik,2013-2014,19,16,6,*305*,69,30.5,440,69.31,0,2,0,32,2
MK Tiwary,2011-2015,11,11,1,*285*,104*,28.5,387,73.64,1,1,0,24,3
STR Binny,2014-2015,14,11,3,*230*,77,28.75,246,93.49,0,1,1,23,5
B Kumar,2012-2016,57,30,8,*207*,31,9.4,279,74.19,0,0,6,19,2
MK Pandey,2015-2016,4,3,1,*181*,104*,90.5,172,105.23,1,1,0,13,2
IK Pathan,2011-2012,13,9,3,*176*,47,29.33,180,97.77,0,0,0,15,4
RV Uthappa,2014-2015,8,8,1,*148*,50,21.14,176,84.09,0,1,1,13,3
KM Jadhav,2014-2015,4,4,1,*146*,105*,48.66,137,106.56,1,0,0,17,1
M Vijay,2013-2015,6,5,0,*143*,72,28.6,189,75.66,0,1,0,10,2
R Dravid,2011-2011,5,5,0,*124*,69,24.8,160,77.5,0,1,0,9,0
Harbhajan Singh,2011-2015,14,9,3,*109*,41,18.16,137,79.56,0,0,2,6,3
Mohammed Shami,2013-2015,47,21,11,*109*,25,10.9,125,87.2,0,0,4,7,6
AR Patel,2014-2015,22,15,6,*91*,17*,10.11,95,95.78,0,0,3,4,5
R Vinay Kumar,2011-2013,29,13,4,*86*,27*,9.55,146,58.9,0,0,2,5,2
P Kumar,2011-2012,20,9,5,*67*,25*,16.75,67,100,0,0,0,4,3
YK Pathan,2011-2012,7,5,0,*53*,30,10.6,56,94.64,0,0,0,3,2
CA Pujara,2013-2014,5,5,0,*51*,27,10.2,130,39.23,0,0,2,4,0
UT Yadav,2011-2016,54,18,11,*49*,17,7,91,53.84,0,0,2,7,1
S Badrinath,2011-2011,4,3,0,*40*,17,13.33,85,47.05,0,0,0,3,0
WP Saha,2014-2014,6,4,2,*37*,16,18.5,51,72.54,0,0,0,5,0
MM Sharma,2013-2015,26,9,5,*31*,11,7.75,66,46.96,0,0,1,5,0
A Mishra,2011-2015,21,8,3,*28*,9,5.6,59,47.45,0,0,1,3,0
Z Khan,2011-2012,13,4,0,*25*,9,6.25,28,89.28,0,0,0,4,0
I Sharma,2011-2016,35,14,7,*25*,7*,3.57,70,35.71,0,0,3,2,0
A Mithun,2011-2011,3,1,0,*23*,23,23,16,143.75,0,0,0,2,2
Gurkeerat Singh,2016-2016,3,3,1,*13*,8,6.5,13,100,0,0,0,2,0
R Dhawan,2016-2016,3,2,1,*12*,9,12,13,92.3,0,0,0,1,0
VR Aaron,2011-2014,9,3,2,*8*,6*,8,15,53.33,0,0,1,1,0
PP Ojha,2012-2012,2,1,0,*5*,5,5,18,27.77,0,0,0,0,0
AB Dinda,2012-2013,8,2,0,*3*,3,1.5,6,50,0,0,1,0,0
DS Kulkarni,2014-2015,8,1,1,*2*,2*,-,2,100,0,0,0,0,0
A Nehra,2011-2011,1,1,0,*1*,1,1,2,50,0,0,0,0,0
MM Patel,2011-2011,12,2,1,*1*,1,1,2,50,0,0,0,0,0
R Sharma,2011-2012,4,1,0,*1*,1,1,2,50,0,0,0,0,0
JJ Bumrah,2016-2016,1,-,-,*-*,-,-,-,-,-,-,-,-,-
Parvez Rasool,2014-2014,1,-,-,*-*,-,-,-,-,-,-,-,-,-
KV Sharma,2014-2014,2,-,-,*-*,-,-,-,-,-,-,-,-,-
RP Singh,2011-2011,3,-,-,*-*,-,-,-,-,-,-,-,-,-
BB Sran,2016-2016,3,-,-,*-*,-,-,-,-,-,-,-,-,-
S Sreesanth,2011-2011,1,-,-,*-*,-,-,-,-,-,-,-,-,-
JD Unadkat,2013-2013,7,-,-,*-*,-,-,-,-,-,-,-,-,-
