Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
MJ Guptill,2010-2015,86,84,10,3281,237,44.33,3946,83.14,8,18,7,345,64
KS Williamson,2010-2015,79,74,9,3241,145,49.86,3817,84.9,6,21,1,303,23
LRPL Taylor,2010-2015,78,72,13,3135,131,53.13,3775,83.04,12,14,1,246,58
BB McCullum,2010-2015,79,74,6,2254,119,33.14,2082,108.26,3,13,6,231,83
GD Elliott,2010-2015,43,38,5,1152,104,34.9,1255,91.79,1,6,2,99,21
L Ronchi,2013-2015,56,45,7,974,170,25.63,825,118.06,1,2,5,102,30
NL McCullum,2010-2015,74,53,11,957,65,22.78,1038,92.19,0,4,1,66,32
CJ Anderson,2013-2015,35,31,5,918,131,35.3,744,123.38,1,4,2,76,48
TWM Latham,2012-2015,32,31,5,820,110,31.53,1091,75.16,1,4,1,77,10
JD Ryder,2011-2014,24,20,0,667,107,33.35,677,98.52,2,3,3,77,16
JEC Franklin,2010-2013,35,27,8,634,98,33.36,782,81.07,0,4,2,51,11
RJ Nicol,2011-2013,22,21,2,586,146,30.84,776,75.51,2,2,2,53,13
BJ Watling,2011-2013,15,14,2,444,96,37,614,72.31,0,4,1,44,3
SB Styris,2010-2011,19,15,1,427,59,30.5,516,82.75,0,3,1,35,5
KD Mills,2010-2015,52,32,9,297,32,12.91,320,92.81,0,0,3,21,11
DL Vettori,2010-2015,36,23,8,274,44,18.26,280,97.85,0,0,1,32,1
C Munro,2013-2015,12,9,0,244,85,27.11,259,94.2,0,2,1,20,5
JDS Neesham,2013-2015,19,16,5,238,42,21.63,249,95.58,0,0,2,25,3
TG Southee,2010-2015,63,32,12,233,28,11.65,242,96.28,0,0,5,17,9
JDP Oram,2011-2012,19,14,2,231,59,19.25,213,108.45,0,1,0,20,10
DG Brownlie,2012-2014,10,9,1,203,47,25.37,273,74.35,0,0,0,26,1
AP Devcich,2013-2014,10,9,0,177,58,19.66,236,75,0,1,2,25,0
AM Ellis,2012-2013,15,12,1,154,33,14,184,83.69,0,0,1,10,2
JM How,2010-2011,10,9,0,116,24,12.88,245,47.34,0,0,0,12,1
MJ Santner,2015-2015,5,5,1,97,44,24.25,75,129.33,0,0,0,10,4
MJ McClenaghan,2013-2015,43,13,9,77,34,19.25,120,64.16,0,0,0,7,1
DR Flynn,2012-2012,4,4,0,61,28,15.25,68,89.7,0,0,1,9,1
AF Milne,2012-2015,25,7,4,58,19,19.33,67,86.56,0,0,1,3,1
BM Wheeler,2015-2015,6,4,4,58,39,-,47,123.4,0,0,0,4,3
TA Boult,2012-2015,27,10,6,52,21,13,69,75.36,0,0,0,4,3
GH Worker,2015-2015,2,2,1,41,21,41,63,65.07,0,0,0,4,0
C de Grandhomme,2012-2012,1,1,0,36,36,36,36,100,0,0,0,1,3
MJ Henry,2014-2015,16,5,1,33,20,8.25,39,84.61,0,0,2,3,1
GJ Hopkins,2010-2010,3,3,1,33,16,16.5,32,103.12,0,0,0,4,0
DAJ Bracewell,2011-2015,9,5,1,27,13,6.75,48,56.25,0,0,1,1,0
HD Rutherford,2013-2013,4,4,0,15,11,3.75,56,26.78,0,0,0,2,0
LJ Woodcock,2011-2011,4,2,1,14,11,14,22,63.63,0,0,0,1,0
MD Bates,2012-2012,2,1,0,13,13,13,10,130,0,0,0,1,1
TS Nethula,2012-2012,5,3,1,12,9,6,11,109.09,0,0,1,1,0
HK Bennett,2011-2014,12,5,3,10,4,5,24,41.66,0,0,1,0,0
IS Sodhi,2015-2015,6,2,0,5,5,2.5,15,33.33,0,0,1,0,0
DR Tuffey,2010-2010,1,1,0,4,4,4,5,80,0,0,0,0,0
AJ McKay,2010-2012,10,4,3,2,2,2,13,15.38,0,0,1,0,0
AW Mathieson,2015-2015,1,1,1,0,0,-,0,-,0,0,0,0,0
GW Aldridge,2011-2011,2,-,-,-,-,-,-,-,-,-,-,-,-
