Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,BBM,Ave,Econ,SR,5,10
KAJ Roach,2010-2015,25,46,806.3,151,2568,*94*,5/41,10/146,27.31,3.18,51.4,5,1
S Shillingford,2010-2014,13,22,619.2,105,1899,*61*,6/49,10/93,31.13,3.06,60.9,6,2
DJG Sammy,2010-2013,30,50,792.1,172,2258,*57*,5/29/2015,7/45,39.61,2.85,83.3,1,0
D Bishoo,2011-2015,13,23,599.4,95,1871,*50*,6/80,8/152,37.42,3.12,71.9,2,0
R Rampaul,2011-2012,13,24,451.2,88,1266,*45*,4/48,7/75,28.13,2.8,60.1,0,0
FH Edwards,2011-2012,12,23,390.3,42,1438,*43*,6/90,8/132,33.44,3.68,54.4,4,0
JE Taylor,2014-2015,12,22,381.2,97,1159,*40*,6/47,6/69,28.97,3.03,57.2,1,0
SJ Benn,2010-2015,11,18,511,107,1356,*37*,5/39,7/83,36.64,2.65,82.8,3,0
MN Samuels,2011-2015,30,38,439,39,1472,*33*,4/13/2015,6/50,44.6,3.35,79.8,0,0
ST Gabriel,2012-2015,14,25,335.3,65,1146,*32*,3/10/2015,4/55,35.81,3.41,62.9,0,0
TL Best,2012-2013,11,18,254.5,32,928,*29*,6/40,6/71,32,3.64,52.7,2,0
SP Narine,2012-2013,6,11,275,60,851,*21*,6/91,8/223,40.52,3.09,78.5,2,0
N Deonarine,2012-2013,10,16,166.4,28,467,*20*,4/37,6/80,23.35,2.8,50,0,0
V Permaul,2012-2015,6,11,228.3,34,788,*18*,3/32,4/107,43.77,3.44,76.1,0,0
JO Holder,2014-2015,8,14,206.5,54,566,*16*,3/15/2015,5/49,35.37,2.73,77.5,0,0
DJ Bravo,2010-2010,3,4,50.2,11,156,*3*,1/8/2015,2/69,52,3.09,100.6,0,0
J Blackwood,2014-2015,10,8,32.3,4,132,*2*,2/14/2015,2/65,66,4.06,97.5,0,0
SS Cottrell,2013-2014,2,2,46,4,196,*2*,1/72,1/72,98,4.26,138,0,0
KK Peters,2014-2014,1,1,20,7,69,*2*,2/69,2/69,34.5,3.45,60,0,0
KC Brathwaite,2011-2015,22,6,43.4,6,123,*1*,1/43,1/43,123,2.81,262,0,0
S Chanderpaul,2010-2015,38,1,10,0,38,*1*,1/38,1/38,38,3.8,60,0,0
CH Gayle,2010-2014,15,6,43,6,128,*1*,1/50,1/50,128,2.97,258,0,0
BP Nash,2010-2011,6,5,14,0,51,*1*,1/21/2015,1/21/2015,51,3.64,84,0,0
AD Russell,2010-2010,1,2,23,2,104,*1*,1/73,1/104,104,4.52,138,0,0
DM Bravo,2010-2015,37,1,1,0,2,*0*,-,-,-,2,-,0,0
KA Edwards,2011-2014,17,1,4,0,19,*0*,-,-,-,4.75,-,0,0
AB Fudadin,2012-2012,3,1,5,1,11,*0*,-,-,-,2.2,-,0,0
LR Johnson,2014-2015,4,1,4,0,9,*0*,-,-,-,2.25,-,0,0
LMP Simmons,2011-2011,5,1,2,0,8,*0*,-,-,-,4,-,0,0
AB Barath,2010-2012,13,-,-,-,-,*-*,-,-,-,-,-,-,-
CS Baugh,2010-2012,16,-,-,-,-,*-*,-,-,-,-,-,-,-
R Chandrika,2015-2015,1,-,-,-,-,*-*,-,-,-,-,-,-,-
SO Dowrich,2015-2015,2,-,-,-,-,*-*,-,-,-,-,-,-,-
SD Hope,2015-2015,3,-,-,-,-,*-*,-,-,-,-,-,-,-
NT Pascal,2010-2010,1,-,-,-,-,*-*,-,-,-,-,-,-,-
KOA Powell,2011-2014,21,-,-,-,-,*-*,-,-,-,-,-,-,-
D Ramdin,2012-2015,27,-,-,-,-,*-*,-,-,-,-,-,-,-
RR Sarwan,2011-2011,4,-,-,-,-,*-*,-,-,-,-,-,-,-
DS Smith,2010-2015,7,-,-,-,-,*-*,-,-,-,-,-,-,-
