Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
S Chanderpaul,2010-2015,38,65,16,2898,203,59.14,6434,45.04,8,12,2,277,9
DM Bravo,2010-2015,37,67,4,2597,218,41.22,5584,46.5,6,11,3,297,31
MN Samuels,2011-2015,30,52,2,2149,260,42.98,4194,51.23,5,13,6,288,24
KC Brathwaite,2011-2015,22,42,2,1354,212,33.85,3251,41.64,4,6,8,131,1
D Ramdin,2012-2015,27,44,6,1225,126,32.23,2384,51.38,3,5,2,153,4
CH Gayle,2010-2014,15,27,5,1207,333,54.86,1673,72.14,3,4,1,151,32
KOA Powell,2011-2014,21,40,1,1072,134,27.48,2155,49.74,3,2,3,148,5
DJG Sammy,2010-2013,30,48,2,1032,106,22.43,1409,73.24,1,5,6,121,32
KA Edwards,2011-2014,17,32,1,986,121,31.8,2052,48.05,2,8,4,111,12
J Blackwood,2014-2015,10,18,3,619,112,41.26,1114,55.56,1,5,1,72,11
AB Barath,2010-2012,13,24,0,518,64,21.58,1161,44.61,0,4,2,68,5
CS Baugh,2010-2012,16,26,2,414,60,17.25,873,47.42,0,2,1,45,3
JO Holder,2014-2015,8,14,3,380,103,34.54,589,64.51,1,2,0,46,5
N Deonarine,2012-2013,10,17,1,355,79,22.18,806,44.04,0,3,2,38,3
KAJ Roach,2010-2015,25,37,5,313,41,9.78,974,32.13,0,0,6,29,1
DS Smith,2010-2015,7,12,0,278,65,23.16,625,44.48,0,2,0,40,0
LR Johnson,2014-2015,4,7,0,275,66,39.28,512,53.71,0,2,1,39,1
R Rampaul,2011-2012,13,22,5,221,34,13,439,50.34,0,0,3,25,8
BP Nash,2010-2011,6,9,0,214,67,23.77,501,42.71,0,2,0,17,0
S Shillingford,2010-2014,13,21,6,207,53,13.8,472,43.85,0,1,5,23,7
TL Best,2012-2013,11,15,3,205,95,17.08,303,67.65,0,1,5,29,3
D Bishoo,2011-2015,13,23,10,198,30,15.23,452,43.8,0,0,4,21,1
LMP Simmons,2011-2011,5,10,0,191,49,19.1,366,52.18,0,0,1,18,3
JE Taylor,2014-2015,12,18,1,149,40,8.76,179,83.24,0,0,5,19,6
FH Edwards,2011-2012,12,19,7,146,30,12.16,428,34.11,0,0,1,16,0
SJ Benn,2010-2015,11,14,3,134,29,12.18,203,66,0,0,2,16,5
AB Fudadin,2012-2012,3,5,1,122,55,30.5,380,32.1,0,1,0,15,0
SO Dowrich,2015-2015,2,4,0,102,70,25.5,283,36.04,0,1,0,9,1
V Permaul,2012-2015,6,9,1,98,23,12.25,138,71.01,0,0,3,14,2
SD Hope,2015-2015,3,6,0,94,36,15.66,227,41.4,0,0,0,13,0
RR Sarwan,2011-2011,4,8,0,83,23,10.37,235,35.31,0,0,2,9,0
ST Gabriel,2012-2015,14,18,7,46,20,4.18,131,35.11,0,0,7,5,1
SP Narine,2012-2013,6,7,2,40,22,8,92,43.47,0,0,1,4,1
DJ Bravo,2010-2010,3,3,0,25,20,8.33,53,47.16,0,0,1,3,1
SS Cottrell,2013-2014,2,4,0,11,5,2.75,24,45.83,0,0,1,1,0
AD Russell,2010-2010,1,1,0,2,2,2,9,22.22,0,0,0,0,0
R Chandrika,2015-2015,1,2,0,0,0,0,9,0,0,0,2,0,0
KK Peters,2014-2014,1,1,0,0,0,0,3,0,0,0,1,0,0
NT Pascal,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-
