Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
KC Sangakkara,2010-2015,128,121,13,5724,169,53,6746,84.85,15,35,6,538,51
TM Dilshan,2010-2015,131,128,12,5147,161,44.37,6086,84.57,14,25,6,587,22
DPMD Jayawardene,2010-2015,122,111,7,3647,144,35.06,4346,83.91,7,22,4,352,22
AD Mathews,2010-2015,132,112,33,3352,139,42.43,3878,86.43,1,22,8,268,58
HDRL Thirimanne,2012-2015,96,78,10,2339,139,34.39,3256,71.83,4,14,5,187,19
WU Tharanga,2010-2015,74,70,6,2161,174,33.76,2914,74.15,5,11,4,242,12
LD Chandimal,2011-2015,96,86,14,2155,105,29.93,2856,75.45,1,14,9,159,23
MDKJ Perera,2013-2015,48,46,3,1096,116,25.48,1211,90.5,2,5,8,118,30
NLTC Perera,2010-2015,96,73,11,1033,80,16.66,971,106.38,0,5,7,77,38
KMDN Kulasekara,2010-2015,89,63,12,706,73,13.84,788,89.59,0,2,9,52,22
BMAJ Mendis,2010-2015,50,38,9,562,72,19.37,667,84.25,0,1,1,41,11
SMA Priyanjan,2013-2015,23,20,2,420,74,23.33,522,80.45,0,2,0,47,3
SL Malinga,2010-2015,116,61,17,323,56,7.34,363,88.98,0,1,16,28,15
SMSM Senanayake,2012-2015,46,31,11,283,42,14.15,294,96.25,0,0,5,30,6
S Prasanna,2011-2015,25,22,2,193,42,9.65,235,82.12,0,0,5,15,10
FDM Karunaratne,2011-2015,17,13,1,190,60,15.83,276,68.84,0,1,2,14,0
LPC Silva,2010-2011,14,10,0,187,63,18.7,286,65.38,0,2,1,19,1
HMRKB Herath,2011-2015,62,28,14,138,17,9.85,213,64.78,0,0,3,10,2
TAM Siriwardana,2015-2015,5,5,1,121,52,30.25,89,135.95,0,1,0,11,5
S Randiv,2010-2014,12,8,0,115,41,14.37,155,74.19,0,0,1,14,1
TT Samaraweera,2011-2011,12,8,4,114,34,28.5,156,73.07,0,0,0,10,0
KTGD Prasad,2011-2015,19,9,6,112,31,37.33,96,116.66,0,0,1,9,3
CK Kapugedera,2011-2012,10,7,0,98,62,14,143,68.53,0,1,1,5,0
PC de Silva,2014-2014,6,6,1,80,44,16,98,81.63,0,0,0,8,0
KDK Vithanage,2013-2014,6,6,1,75,27,15,90,83.33,0,0,0,11,0
BAW Mendis,2011-2014,39,19,9,72,19,7.2,97,74.22,0,0,6,9,1
SS Pathirana,2015-2015,3,3,0,66,33,22,72,91.66,0,0,0,5,2
MF Maharoof,2012-2012,10,7,2,58,18,11.6,79,73.41,0,0,0,2,1
SHT Kandamby,2011-2014,6,5,0,56,20,11.2,108,51.85,0,0,1,4,0
CKB Kulasekara,2011-2012,4,3,0,38,19,12.66,72,52.77,0,0,1,0,0
RMS Eranga,2011-2015,17,10,7,34,12,11.33,63,53.96,0,0,1,4,0
RAS Lakmal,2011-2015,32,15,9,20,7,3.33,62,32.25,0,0,4,0,0
PVD Chameera,2015-2015,3,2,2,14,12,-,14,100,0,0,0,1,0
M Muralitharan,2010-2011,13,3,2,11,7,11,6,183.33,0,0,0,1,1
J Mubarak,2013-2013,2,1,0,8,8,8,15,53.33,0,0,0,1,0
LHD Dilhara,2013-2013,1,1,0,6,6,6,22,27.27,0,0,0,0,0
N Dickwella,2014-2014,1,1,0,4,4,4,10,40,0,0,0,0,0
N Pradeep,2012-2015,5,3,3,3,3,-,5,60,0,0,0,0,0
CRD Fernando,2010-2012,8,5,3,2,2,1,10,20,0,0,2,0,0
ST Jayasuriya,2011-2011,1,1,0,2,2,2,4,50,0,0,0,0,0
AK Perera,2013-2014,3,1,0,1,1,1,5,20,0,0,0,0,0
PLS Gamage,2014-2015,5,2,2,0,0,-,12,0,0,0,0,0,0
PHT Kaushal,2015-2015,1,1,0,0,0,0,1,0,0,0,1,0,0
A Dananjaya,2012-2012,1,-,-,-,-,-,-,-,-,-,-,-,-
MDK Perera,2014-2014,1,-,-,-,-,-,-,-,-,-,-,-,-
I Udana,2012-2012,2,-,-,-,-,-,-,-,-,-,-,-,-
S Weerakoon,2012-2012,2,-,-,-,-,-,-,-,-,-,-,-,-
