Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
KC Sangakkara,2010-2015,43,81,6,4384,319,58.45,8531,51.38,15,19,7,462,27
AD Mathews,2010-2015,42,76,16,3331,160,55.51,6879,48.42,7,20,1,363,32
DPMD Jayawardene,2010-2014,36,65,2,2406,203,38.19,5104,47.13,6,14,4,271,19
TM Dilshan,2010-2013,24,44,0,1586,193,36.04,2428,65.32,5,8,4,198,6
LD Chandimal,2011-2015,21,37,4,1455,162,44.09,2396,60.72,4,8,1,167,13
JK Silva,2011-2015,22,41,0,1355,139,33.04,3326,40.73,2,9,3,165,2
FDM Karunaratne,2012-2015,21,41,2,1271,152,32.58,2496,50.92,2,6,4,146,3
TT Samaraweera,2010-2013,21,37,4,1218,115,36.9,2775,43.89,2,7,4,133,1
HAPW Jayawardene,2010-2015,25,40,5,1044,120,29.82,2135,48.89,2,3,3,112,9
NT Paranavitana,2010-2012,19,36,4,970,95,30.31,2622,36.99,0,7,7,103,4
HDRL Thirimanne,2011-2015,22,44,6,953,155,25.07,2391,39.85,1,4,6,85,3
HMRKB Herath,2010-2015,41,64,16,693,49,14.43,1313,52.77,0,0,10,82,4
WU Tharanga,2014-2015,6,12,0,404,92,33.66,670,60.29,0,2,1,58,1
KTGD Prasad,2010-2015,18,32,1,389,47,12.54,698,55.73,0,0,8,43,8
KDK Vithanage,2013-2015,8,12,2,301,103,30.1,381,79,1,1,0,36,7
NLTC Perera,2011-2012,6,10,0,203,75,20.3,278,73.02,0,1,0,21,4
UWMBCA Welegedara,2011-2014,15,24,4,191,48,9.55,373,51.2,0,0,4,25,4
RMS Eranga,2011-2014,16,21,10,186,45,16.9,427,43.55,0,0,4,26,0
RAS Lakmal,2010-2015,24,34,12,150,18,6.81,428,35.04,0,0,8,23,0
KMDN Kulasekara,2010-2014,10,12,0,146,33,12.16,389,37.53,0,0,2,13,4
N Dickwella,2014-2014,4,7,0,144,72,20.57,238,60.5,0,1,0,15,1
MDK Perera,2014-2015,8,12,0,143,95,11.91,382,37.43,0,1,5,18,3
S Randiv,2010-2012,10,15,1,133,39,9.5,413,32.2,0,0,3,15,0
J Mubarak,2015-2015,3,6,0,131,49,21.83,271,48.33,0,0,2,16,2
MDKJ Perera,2015-2015,1,2,0,125,70,62.5,162,77.16,0,2,0,20,0
PHT Kaushal,2014-2015,6,11,1,97,18,9.7,232,41.81,0,0,1,14,0
BAW Mendis,2010-2014,7,6,2,68,47,17,116,58.62,0,0,0,8,0
N Pradeep,2011-2015,13,22,8,66,17,4.71,189,34.92,0,0,5,10,0
CRD Fernando,2010-2012,6,7,4,51,39,17,84,60.71,0,0,1,8,0
CKB Kulasekara,2011-2011,1,2,0,22,15,11,50,44,0,0,0,2,0
MF Maharoof,2011-2011,2,3,0,18,16,6,59,30.5,0,0,1,1,0
PVD Chameera,2015-2015,2,3,1,6,4,3,26,23.07,0,0,0,1,0
S Prasanna,2011-2011,1,1,0,5,5,5,12,41.66,0,0,0,0,0
SMSM Senanayake,2013-2014,1,1,0,5,5,5,15,33.33,0,0,0,1,0
T Thushara,2010-2010,1,1,1,4,4,-,4,100,0,0,0,1,0
