Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,BBM,Ave,Econ,SR,5,10
R Ashwin,2011-2015,28,52,1372.4,264,4125,145,7/103,12/85,28.44,3,56.8,12,3
I Sharma,2010-2015,39,69,1371.3,256,4564,127,7/74,10/108,35.93,3.32,64.7,6,1
PP Ojha,2010-2013,18,36,985,241,2521,92,6/47,10/89,27.4,2.55,64.2,7,1
Z Khan,2010-2014,20,34,728,140,2264,69,5/94,8/137,32.81,3.1,63.3,2,0
Harbhajan Singh,2010-2015,18,34,775.2,125,2248,60,7/120,7/195,37.46,2.89,77.5,1,0
UT Yadav,2011-2015,15,28,429,54,1851,48,5/93,7/103,38.56,4.31,53.6,1,0
Mohammed Shami,2013-2015,12,23,446.3,62,1699,47,5/47,9/118,36.14,3.8,57,2,0
RA Jadeja,2012-2014,12,22,570.4,144,1367,45,6/138,7/98,30.37,2.39,76,2,0
B Kumar,2013-2015,12,20,318.5,68,1015,29,6/82,6/103,35,3.18,65.9,2,0
P Kumar,2011-2011,6,11,268.3,68,697,27,5/106,7/169,25.81,2.59,59.6,1,0
S Sreesanth,2010-2011,10,17,339,36,1350,27,5/114,5/193,50,3.98,75.3,1,0
A Mishra,2011-2015,6,10,186.5,18,658,22,4/43,7/72,29.9,3.52,50.9,0,0
VR Aaron,2011-2015,7,11,178.1,11,875,16,3/97,3/97,54.68,4.91,66.8,0,0
SK Raina,2010-2015,16,21,168.3,22,582,13,2/1/2015,2/1/2015,44.76,3.45,77.7,0,0
PP Chawla,2012-2012,1,2,47.5,7,133,4,4/69,4/133,33.25,2.78,71.7,0,0
KV Sharma,2014-2014,1,2,49,3,238,4,2/95,4/238,59.5,4.85,73.5,0,0
STR Binny,2014-2015,5,6,72,10,257,3,2/24/2015,2/73,85.66,3.56,144,0,0
A Mithun,2011-2011,1,2,28,9,84,3,2/34,3/84,28,3,56,0,0
Pankaj Singh,2014-2014,2,3,75,17,292,2,2/113,2/113,146,3.89,225,0,0
RG Sharma,2013-2015,14,9,54.4,3,197,2,1/26/2015,1/35,98.5,3.6,164,0,0
SR Tendulkar,2010-2013,31,15,41,2,193,2,1/5/2015,1/9/2015,96.5,4.7,123,0,0
MM Patel,2011-2011,1,2,44,12,119,1,1/48,1/119,119,2.7,264,0,0
V Sehwag,2010-2013,25,14,98.4,6,296,1,1/20/2015,1/20/2015,296,3,592,0,0
M Vijay,2010-2015,26,9,36,5,105,1,1/12/2015,1/23/2015,105,2.91,216,0,0
R Vinay Kumar,2012-2012,1,1,13,0,73,1,1/73,1/73,73,5.61,78,0,0
Yuvraj Singh,2011-2012,6,9,30,1,116,1,1/51,1/52,116,3.86,180,0,0
S Dhawan,2013-2015,15,4,6,1,9,0,-,-,-,1.5,-,0,0
MS Dhoni,2010-2014,44,5,14,1,53,0,-,-,-,3.78,-,0,0
G Gambhir,2010-2014,24,1,2,0,4,0,-,-,-,2,-,0,0
V Kohli,2011-2015,37,6,24,1,70,0,-,-,-,2.91,-,0,0
A Mukund,2011-2011,5,1,2,0,14,0,-,-,-,7,-,0,0
RP Singh,2011-2011,1,1,34,7,118,0,-,-,-,3.47,-,0,0
JD Unadkat,2010-2010,1,1,26,4,101,0,-,-,-,3.88,-,0,0
R Dravid,2010-2012,22,-,-,-,-,-,-,-,-,-,-,-,-
VVS Laxman,2010-2012,21,-,-,-,-,-,-,-,-,-,-,-,-
NV Ojha,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-,-
CA Pujara,2010-2015,28,-,-,-,-,-,-,-,-,-,-,-,-
AM Rahane,2013-2015,18,-,-,-,-,-,-,-,-,-,-,-,-
KL Rahul,2014-2015,5,-,-,-,-,-,-,-,-,-,-,-,-
WP Saha,2012-2015,6,-,-,-,-,-,-,-,-,-,-,-,-
