Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
R Ashwin,2010-2015,98,97,890.3,34,4295,137,25/04/2015,31.35,4.82,39,1,0
RA Jadeja,2010-2015,87,85,745.4,33,3618,115,5/36,31.46,4.85,38.9,4,1
Mohammed Shami,2013-2015,47,46,390.5,26,2166,87,4/35,24.89,5.54,26.9,5,0
UT Yadav,2011-2015,49,48,375,17,2192,71,4/31,30.87,5.84,31.6,3,0
B Kumar,2012-2015,53,53,432.5,44,2013,56,08/04/2015,35.94,4.65,46.3,2,0
I Sharma,2011-2015,31,30,243,16,1365,43,4/34,31.74,5.61,33.9,2,0
Z Khan,2010-2012,25,25,223.5,10,1118,41,20/03/2015,27.26,4.99,32.7,0,0
A Mishra,2011-2015,19,18,177.3,14,787,40,6/48,19.67,4.43,26.6,2,1
R Vinay Kumar,2011-2013,29,29,222.2,18,1301,36,30/04/2015,36.13,5.85,37,1,0
MM Patel,2010-2011,25,24,192.3,8,989,34,29/04/2015,29.08,5.13,33.9,2,0
SK Raina,2010-2015,117,75,284,4,1423,29,3/34,49.06,5.01,58.7,0,0
MM Sharma,2013-2015,24,23,169.5,12,888,29,22/04/2015,30.62,5.22,35.1,1,0
AR Patel,2014-2015,20,17,152.2,7,702,27,3/39,26,4.6,33.8,0,0
Yuvraj Singh,2010-2013,38,26,154,3,816,27,31/05/2015,30.22,5.29,34.2,0,1
Harbhajan Singh,2011-2015,22,22,214,6,904,24,3/32,37.66,4.22,53.5,0,0
P Kumar,2010-2012,22,22,176,11,922,21,3/37,43.9,5.23,50.2,0,0
IK Pathan,2011-2012,13,13,110.1,4,596,21,5/61,28.38,5.4,31.4,1,1
STR Binny,2014-2015,14,12,81.4,4,439,20,04/06/2015,21.95,5.37,24.5,0,1
DS Kulkarni,2014-2015,8,8,67.2,2,359,13,4/34,27.61,5.33,31,1,0
YK Pathan,2010-2012,20,20,100,2,511,12,3/49,42.58,5.11,50,0,0
VR Aaron,2011-2014,9,9,63.2,1,419,11,24/03/2015,38.09,6.61,34.5,0,0
A Nehra,2010-2011,12,12,89.4,5,525,11,2/33,47.72,5.85,48.9,0,0
AB Dinda,2012-2013,8,8,61.1,1,384,9,2/47,42.66,6.27,40.7,0,0
JD Unadkat,2013-2013,7,7,52,5,209,8,4/41,26.12,4.01,39,1,0
S Sreesanth,2010-2011,4,4,27.2,1,182,7,4/47,26,6.65,23.4,1,0
R Sharma,2011-2012,4,4,34.2,0,177,6,3/43,29.5,5.15,34.3,0,0
RG Sharma,2010-2015,87,21,61,0,325,5,2/30,65,5.32,73.2,0,0
MK Tiwary,2011-2015,11,6,22,1,150,5,4/61,30,6.81,26.4,1,0
PP Chawla,2011-2011,4,4,35,0,206,4,2/47,51.5,5.88,52.5,0,0
V Kohli,2010-2015,129,39,87.1,1,542,4,15/01/2015,135.5,6.21,130.7,0,0
V Sehwag,2011-2013,23,6,27,1,137,4,3/43,34.25,5.07,40.5,0,0
RP Singh,2011-2011,3,3,22,0,142,4,3/59,35.5,6.45,33,0,0
A Mithun,2011-2011,3,3,18,1,116,3,2/32,38.66,6.44,36,0,0
AT Rayudu,2013-2015,31,7,18,1,111,3,05/01/2015,37,6.16,36,0,0
Parvez Rasool,2014-2014,1,1,10,0,60,2,2/60,30,6,30,0,0
PP Ojha,2012-2012,2,2,6.5,0,51,1,1/44,51,7.46,41,0,0
M Vijay,2010-2015,12,2,6,0,37,1,19/01/2015,37,6.16,36,0,0
MS Dhoni,2011-2015,96,1,4,0,17,0,-,-,4.25,-,0,0
KV Sharma,2014-2014,2,2,19,1,125,0,-,-,6.57,-,0,0
SR Tendulkar,2011-2012,21,3,5.4,0,33,0,-,-,5.82,-,0,0
RV Uthappa,2014-2015,8,1,0.2,0,0,0,-,-,0,-,0,0
S Badrinath,2011-2011,4,-,-,-,-,-,-,-,-,-,-,-
S Dhawan,2011-2015,66,-,-,-,-,-,-,-,-,-,-,-
R Dravid,2011-2011,5,-,-,-,-,-,-,-,-,-,-,-
G Gambhir,2010-2013,47,-,-,-,-,-,-,-,-,-,-,-
KM Jadhav,2014-2015,4,-,-,-,-,-,-,-,-,-,-,-
KD Karthik,2013-2014,19,-,-,-,-,-,-,-,-,-,-,-
MK Pandey,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-
PA Patel,2010-2012,24,-,-,-,-,-,-,-,-,-,-,-
CA Pujara,2013-2014,5,-,-,-,-,-,-,-,-,-,-,-
