Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
Mohammad Hafeez,2010-2015,116,116,8,4013,140,37.15,5024,79.87,10,22,9,412,61
Misbah-ul-Haq,2010-2015,106,99,20,3599,96,45.55,5070,70.98,0,33,4,230,59
Ahmed Shehzad,2011-2015,68,68,1,2366,124,35.31,3194,74.07,6,13,6,250,18
Umar Akmal,2010-2015,88,77,13,2189,102,34.2,2510,87.21,1,15,6,192,41
Shahid Afridi,2010-2015,97,86,9,1743,88,22.63,1313,132.74,0,9,5,147,75
Younis Khan,2010-2015,62,58,4,1475,103,27.31,1977,74.6,1,11,4,111,6
Asad Shafiq,2010-2015,52,50,4,1181,84,25.67,1775,66.53,0,8,4,94,4
Azhar Ali,2011-2015,27,27,3,1117,102,46.54,1476,75.67,2,7,0,106,4
Nasir Jamshed,2012-2015,36,36,1,1065,112,30.42,1532,69.51,3,4,4,101,13
Sarfraz Ahmed,2011-2015,43,35,7,860,101,30.71,984,87.39,1,2,1,65,6
Shoaib Malik,2011-2015,35,32,10,802,112,36.45,868,92.39,1,3,3,71,17
Haris Sohail,2013-2015,22,21,3,774,89,43,934,82.86,0,7,1,59,11
Sohaib Maqsood,2013-2015,25,24,2,725,89,32.95,865,83.81,0,5,1,57,16
Imran Farhat,2010-2013,23,23,1,654,93,29.72,987,66.26,0,6,1,71,2
Kamran Akmal,2011-2013,31,27,1,591,89,22.73,768,76.95,0,3,3,70,6
Wahab Riaz,2010-2015,58,42,10,487,54,15.21,578,84.25,0,2,9,41,18
Fawad Alam,2010-2015,16,16,4,486,114,40.5,640,75.93,1,3,2,33,5
Abdul Razzaq,2010-2011,22,18,4,354,109,25.28,374,94.65,1,1,0,28,12
Mohammad Rizwan,2015-2015,11,9,3,303,75,50.5,298,101.67,0,3,0,28,4
Anwar Ali,2013-2015,17,12,5,251,43,35.85,268,93.65,0,0,0,24,5
Umar Amin,2013-2014,12,12,1,235,59,21.36,329,71.42,0,1,0,25,2
Sohail Tanvir,2011-2014,31,22,6,217,31,13.56,268,80.97,0,0,1,27,4
Saeed Ajmal,2010-2015,81,49,14,215,28,6.14,365,58.9,0,0,8,17,0
Umar Gul,2010-2015,52,28,7,210,39,10,249,84.33,0,0,4,15,8
Sharjeel Khan,2013-2014,11,11,0,194,61,17.63,242,80.16,0,1,1,23,6
Saad Nasim,2015-2015,3,3,1,99,77,49.5,124,79.83,0,1,1,9,1
Babar Azam,2015-2015,3,3,0,91,54,30.33,109,83.48,0,1,0,8,0
Bilawal Bhatti,2013-2015,10,7,1,89,39,14.83,75,118.66,0,0,1,10,2
Abdur Rehman,2010-2014,19,14,4,82,22,8.2,132,62.12,0,0,2,6,1
Hammad Azam,2011-2015,11,7,2,80,36,16,131,61.06,0,0,0,5,2
Imad Wasim,2015-2015,5,2,0,76,61,38,78,97.43,0,1,0,7,0
Aamer Yamin,2015-2015,3,2,1,63,62,63,69,91.3,0,1,0,5,4
Adnan Akmal,2011-2012,5,4,1,62,27,20.66,89,69.66,0,0,0,3,0
Junaid Khan,2011-2015,52,23,11,60,25,5,108,55.55,0,0,5,4,1
Taufeeq Umar,2011-2011,3,3,0,57,31,19,117,48.71,0,0,0,4,1
Yasir Shah,2011-2015,12,5,1,55,32,13.75,60,91.66,0,0,1,5,0
Zulqarnain Haider,2010-2010,4,4,2,48,19,24,68,70.58,0,0,0,3,0
Mohammad Irfan,2012-2015,51,27,18,45,12,5,122,36.88,0,0,5,5,2
Sami Aslam,2015-2015,1,1,0,45,45,45,50,90,0,0,0,7,0
Shahzaib Hasan,2010-2010,1,1,0,39,39,39,42,92.85,0,0,0,6,0
Bilal Asif,2015-2015,2,2,0,38,38,19,42,90.47,0,0,1,6,1
Zulfiqar Babar,2014-2015,5,5,3,35,14,17.5,40,87.5,0,0,0,2,1
Ehsan Adil,2013-2015,6,4,1,27,15,9,42,64.28,0,0,0,2,0
Aizaz Cheema,2011-2012,14,6,3,26,9,8.66,45,57.77,0,0,0,2,0
Mohammad Salman,2011-2011,7,3,1,22,19,11,39,56.41,0,0,1,2,0
Sohail Khan,2011-2015,8,5,1,21,7,5.25,42,50,0,0,0,1,0
Tanvir Ahmed,2011-2011,2,1,0,18,18,18,12,150,0,0,0,1,2
Asad Ali,2013-2013,4,2,0,13,11,6.5,16,81.25,0,0,0,0,1
Usman Salahuddin,2011-2011,2,2,0,13,8,6.5,28,46.42,0,0,0,0,0
Shoaib Akhtar,2010-2011,11,8,5,11,6,3.66,24,45.83,0,0,1,0,1
