Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
Younis Khan,2010-2015,38,68,10,3554,213,61.27,6960,51.06,14,8,4,313,35
Azhar Ali,2010-2015,38,70,4,3102,226,47,7599,40.82,9,18,5,280,8
Misbah-ul-Haq,2010-2015,39,67,14,2992,135,56.45,6538,45.76,6,25,2,301,46
Mohammad Hafeez,2010-2015,33,63,7,2293,224,40.94,3766,60.88,6,7,5,278,18
Asad Shafiq,2010-2015,38,59,5,2271,137,42.05,4930,46.06,7,11,3,246,20
Taufeeq Umar,2010-2014,19,37,3,1234,236,36.29,2774,44.48,3,5,3,153,1
Sarfraz Ahmed,2013-2015,17,29,8,1151,112,54.8,1495,76.98,3,7,0,117,4
Ahmed Shehzad,2013-2015,11,21,1,861,176,43.05,1616,53.27,3,3,1,84,8
Adnan Akmal,2010-2014,21,29,5,591,64,24.62,1341,44.07,0,3,2,73,0
Khurram Manzoor,2013-2014,9,18,0,491,146,27.27,1009,48.66,1,4,2,62,1
Abdur Rehman,2010-2014,20,28,2,361,60,13.88,830,43.49,0,2,3,42,9
Saeed Ajmal,2010-2014,27,38,5,355,49,10.75,887,40.02,0,0,6,32,4
Shan Masood,2013-2015,5,10,0,303,125,30.3,677,44.75,1,1,2,25,3
Umar Akmal,2010-2011,4,6,0,185,56,30.83,334,55.38,0,1,0,14,3
Tanvir Ahmed,2010-2013,5,7,2,170,57,34,271,62.73,0,1,0,26,0
Umar Gul,2010-2013,17,23,3,156,23,7.8,366,42.62,0,0,6,17,4
Junaid Khan,2011-2015,22,28,11,122,17,7.17,306,39.86,0,0,5,14,2
Zulfiqar Babar,2013-2015,10,10,5,118,56,23.6,165,71.51,0,1,0,13,3
Yasir Shah,2014-2015,10,11,1,109,25,10.9,228,47.8,0,0,2,14,2
Rahat Ali,2013-2015,12,16,6,94,35,9.4,235,40,0,0,5,13,3
Wahab Riaz,2010-2015,10,13,3,90,17,9,243,37.03,0,0,2,8,1
Imran Farhat,2013-2013,1,2,0,73,43,36.5,151,48.34,0,0,0,8,0
Bilawal Bhatti,2013-2014,2,3,1,70,32,35,153,45.75,0,0,0,9,1
Nasir Jamshed,2013-2013,2,4,0,51,46,12.75,107,47.66,0,0,1,8,0
Mohammad Ayub,2012-2012,1,2,0,47,25,23.5,168,27.97,0,0,0,4,0
Sami Aslam,2015-2015,2,3,0,47,20,15.66,133,35.33,0,0,0,4,1
Mohammad Talha,2014-2014,3,5,1,34,19,8.5,72,47.22,0,0,1,4,2
Mohammad Irfan,2013-2013,4,7,2,28,14,5.6,87,32.18,0,0,2,4,0
Mohammad Salman,2011-2011,2,4,0,25,13,6.25,57,43.85,0,0,1,1,1
Ehsan Adil,2013-2015,3,4,0,21,12,5.25,41,51.21,0,0,2,3,0
Mohammad Sami,2010-2012,2,3,1,14,9,7,45,31.11,0,0,0,1,0
Sohail Khan,2011-2011,1,1,0,11,11,11,30,36.66,0,0,0,0,1
Aizaz Cheema,2011-2012,7,5,5,1,1,-,23,4.34,0,0,0,0,0
Imran Khan,2014-2015,5,2,1,0,0,0,8,0,0,0,1,0,0
