Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
Saeed Ajmal,2010-2015,81,80,718,45,2952,142,24/05/2015,20.78,4.11,30.3,4,2
Shahid Afridi,2010-2015,97,95,810,22,3747,113,12/07/2015,33.15,4.62,43,2,6
Mohammad Hafeez,2010-2015,116,97,782.3,33,3093,90,4/41,34.36,3.95,52.1,1,0
Wahab Riaz,2010-2015,58,57,438.4,13,2469,80,5/46,30.86,5.62,32.9,4,1
Junaid Khan,2011-2015,52,52,407.2,24,2147,78,12/04/2015,27.52,5.27,31.3,3,0
Mohammad Irfan,2012-2015,51,51,445.4,28,2169,71,30/04/2015,30.54,4.86,37.6,2,0
Umar Gul,2010-2015,52,50,383.2,25,2012,58,4/36,34.68,5.24,39.6,1,0
Sohail Tanvir,2011-2014,31,29,234.3,9,1294,27,4/34,47.92,5.51,52.1,1,0
Aizaz Cheema,2011-2012,14,14,109.4,3,593,23,4/43,25.78,5.4,28.6,2,0
Abdur Rehman,2010-2014,19,19,161.4,6,668,18,4/48,37.11,4.13,53.8,1,0
Rahat Ali,2012-2015,13,13,106.1,1,604,18,3/40,33.55,5.68,35.3,0,0
Yasir Shah,2011-2015,12,11,97,1,491,16,26/06/2015,30.68,5.06,36.3,1,1
Anwar Ali,2013-2015,17,17,117.4,1,706,13,24/02/2015,54.3,6,54.3,0,0
Shoaib Malik,2011-2015,35,25,111.5,5,506,13,06/03/2015,38.92,4.52,51.6,0,0
Sohail Khan,2011-2015,8,8,70.5,3,400,13,5/55,30.76,5.64,32.6,0,1
Shoaib Akhtar,2010-2011,11,11,87,4,509,12,3/39,42.41,5.85,43.5,0,0
Abdul Razzaq,2010-2011,22,21,102,14,461,11,08/02/2015,41.9,4.51,55.6,0,0
Haris Sohail,2013-2015,22,13,76,0,444,9,3/45,49.33,5.84,50.6,0,0
Imad Wasim,2015-2015,5,5,35.1,1,158,7,3/36,22.57,4.49,30.1,0,0
Bilawal Bhatti,2013-2015,10,10,68.1,4,439,6,3/37,73.16,6.44,68.1,0,0
Bilal Asif,2015-2015,2,2,18,1,64,5,25/05/2015,12.8,3.55,21.6,0,1
Ehsan Adil,2013-2015,6,6,37.3,0,223,4,31/01/2015,55.75,5.94,56.2,0,0
Mohammad Talha,2014-2014,3,3,20.2,1,146,4,22/02/2015,36.5,7.18,30.5,0,0
Zulfiqar Babar,2014-2015,5,5,49,1,246,4,2/52,61.5,5.02,73.5,0,0
Mohammad Sami,2012-2015,4,4,31.4,3,210,3,19/03/2015,70,6.63,63.3,0,0
Ahmed Shehzad,2011-2015,68,9,19.1,0,140,2,22/01/2015,70,7.3,57.5,0,0
Asad Ali,2013-2013,4,4,30,6,115,2,22/01/2015,57.5,3.83,90,0,0
Hammad Azam,2011-2015,11,8,33,0,169,2,21/01/2015,84.5,5.12,99,0,0
Tanvir Ahmed,2011-2011,2,2,10,0,83,2,1/38,41.5,8.3,30,0,0
Aamer Yamin,2015-2015,3,3,17,1,89,1,1/38,89,5.23,102,0,0
Fawad Alam,2010-2015,16,3,6,0,45,1,23/01/2015,45,7.5,36,0,0
Raza Hasan,2014-2014,1,1,10,0,68,1,1/68,68,6.8,60,0,0
Sohaib Maqsood,2013-2015,25,4,9,0,42,1,16/01/2015,42,4.66,54,0,0
Younis Khan,2010-2015,62,5,10,0,64,1,10/01/2015,64,6.4,60,0,0
Asad Shafiq,2010-2015,52,2,2,0,18,0,-,-,9,-,0,0
Azhar Ali,2011-2015,27,8,21,0,120,0,-,-,5.71,-,0,0
Saad Nasim,2015-2015,3,2,6,0,46,0,-,-,7.66,-,0,0
Umar Amin,2013-2014,12,2,5,0,18,0,-,-,3.6,-,0,0
Adnan Akmal,2011-2012,5,-,-,-,-,-,-,-,-,-,-,-
Babar Azam,2015-2015,3,-,-,-,-,-,-,-,-,-,-,-
Imran Farhat,2010-2013,23,-,-,-,-,-,-,-,-,-,-,-
Kamran Akmal,2011-2013,31,-,-,-,-,-,-,-,-,-,-,-
Misbah-ul-Haq,2010-2015,106,-,-,-,-,-,-,-,-,-,-,-
Mohammad Rizwan,2015-2015,11,-,-,-,-,-,-,-,-,-,-,-
Mohammad Salman,2011-2011,7,-,-,-,-,-,-,-,-,-,-,-
Mohammad Yousuf,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-
Nasir Jamshed,2012-2015,36,-,-,-,-,-,-,-,-,-,-,-
Sami Aslam,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-
Sarfraz Ahmed,2011-2015,43,-,-,-,-,-,-,-,-,-,-,-
Shahzaib Hasan,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-
