Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,BBM,Ave,Econ,SR,5,10
DW Steyn,2010-2015,39,74,1407.1,347,4159,191,6/8/2015,11/60,21.77,2.95,44.2,11,1
M Morkel,2010-2015,38,72,1234.1,300,3635,126,6/23/2015,8/196,28.84,2.94,58.7,4,0
VD Philander,2011-2015,31,58,983.5,237,2722,123,6/44,10/102,22.13,2.76,47.9,9,2
Imran Tahir,2011-2014,16,30,559.1,73,1995,43,5/32,8/130,46.39,3.56,78,1,0
JH Kallis,2010-2013,26,40,390.5,96,1132,26,3/35,4/105,43.53,2.89,90.1,0,0
JP Duminy,2012-2015,17,26,260.1,31,893,24,4/73,4/149,37.2,3.43,65,0,0
RJ Peterson,2012-2014,9,16,259.2,44,919,24,4/74,6/171,38.29,3.54,64.8,0,0
KJ Abbott,2013-2014,3,6,87.4,27,258,13,7/29/2015,9/68,19.84,2.94,40.4,1,0
PL Harris,2010-2011,5,10,237,83,487,11,3/98,5/126,44.27,2.05,129.2,0,0
SR Harmer,2015-2015,3,4,108,23,334,10,4/82,7/153,33.4,3.09,64.8,0,0
RK Kleinveldt,2012-2013,4,7,111.1,21,422,10,3/65,4/97,42.2,3.79,66.7,0,0
M de Lange,2011-2012,2,4,74.4,10,277,9,7/81,8/126,30.77,3.7,49.7,1,0
DL Piedt,2014-2014,1,2,49,4,152,8,4/62,8/152,19,3.1,36.7,0,0
LL Tsotsobe,2010-2011,3,6,96,20,342,7,3/43,5/83,48.85,3.56,82.2,0,0
J Botha,2010-2010,2,4,92.1,20,293,6,3/61,4/199,48.83,3.17,92.1,0,0
D Elgar,2012-2015,17,18,69.1,1,282,6,1/3/2015,1/3/2015,47,4.07,69.1,0,0
R McLaren,2014-2014,1,2,31,4,119,2,2/72,2/119,59.5,3.83,93,0,0
WD Parnell,2014-2014,1,1,8.3,2,31,2,2/31,2/31,15.5,3.64,25.5,0,0
S van Zyl,2014-2015,5,5,35,9,69,2,1/13/2015,1/19/2015,34.5,1.97,105,0,0
HM Amla,2010-2015,38,1,2,0,9,0,-,-,-,4.5,-,0,0
AB de Villiers,2010-2015,37,1,1,0,5,0,-,-,-,5,-,0,0
F du Plessis,2012-2015,22,5,13,0,69,0,-,-,-,5.3,-,0,0
AN Petersen,2010-2015,32,5,12,0,41,0,-,-,-,3.41,-,0,0
GC Smith,2010-2014,31,4,16,0,80,0,-,-,-,5,-,0,0
T Bavuma,2014-2015,4,-,-,-,-,-,-,-,-,-,-,-,-
MV Boucher,2010-2012,13,-,-,-,-,-,-,-,-,-,-,-,-
Q de Kock,2014-2015,6,-,-,-,-,-,-,-,-,-,-,-,-
AG Prince,2010-2011,9,-,-,-,-,-,-,-,-,-,-,-,-
JA Rudolph,2011-2012,13,-,-,-,-,-,-,-,-,-,-,-,-
DJ Vilas,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-,-
