Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
HM Amla,2010-2015,38,61,7,3387,311,62.72,6171,54.88,13,12,1,404,5
AB de Villiers,2010-2015,37,57,4,3374,278,63.66,5957,56.63,11,13,2,375,28
JH Kallis,2010-2013,26,43,5,2163,224,56.92,3913,55.27,10,5,6,245,23
GC Smith,2010-2014,31,54,4,2095,234,41.9,3587,58.4,6,10,1,248,2
AN Petersen,2010-2015,32,56,4,1821,182,35.01,3474,52.41,4,7,3,229,8
F du Plessis,2012-2015,22,33,4,1495,137,51.55,3555,42.05,4,7,1,171,8
D Elgar,2012-2015,17,25,4,828,121,39.42,1781,46.49,3,3,3,97,9
JP Duminy,2012-2015,17,24,6,762,123,42.33,1723,44.22,3,3,3,78,5
VD Philander,2011-2015,31,37,10,721,74,26.7,1627,44.31,0,4,2,75,5
JA Rudolph,2011-2012,13,20,2,594,105,33,1263,47.03,1,3,0,74,1
DW Steyn,2010-2015,39,46,9,576,58,15.56,1273,45.24,0,1,6,57,20
MV Boucher,2010-2012,13,17,2,344,65,22.93,676,50.88,0,2,1,43,0
M Morkel,2010-2015,38,41,10,343,35,11.06,583,58.83,0,0,10,51,2
AG Prince,2010-2011,9,13,2,310,50,28.18,711,43.6,0,1,1,35,0
RJ Peterson,2012-2014,9,13,2,301,84,27.36,422,71.32,0,2,2,42,1
Q de Kock,2014-2015,6,9,1,264,81,33,468,56.41,0,2,2,20,3
S van Zyl,2014-2015,5,5,2,230,101,76.66,362,63.53,1,0,0,33,0
Imran Tahir,2011-2014,16,16,7,109,29,12.11,194,56.18,0,0,2,13,1
T Bavuma,2014-2015,4,3,0,79,54,26.33,184,42.93,0,1,0,9,0
PL Harris,2010-2011,5,6,0,33,19,5.5,135,24.44,0,0,3,2,1
J Botha,2010-2010,2,3,1,29,12,14.5,75,38.66,0,0,0,4,0
RK Kleinveldt,2012-2013,4,5,2,27,17,9,61,44.26,0,0,2,1,2
KJ Abbott,2013-2014,3,3,0,23,13,7.66,142,16.19,0,0,0,2,0
SR Harmer,2015-2015,3,2,0,19,10,9.5,85,22.35,0,0,0,2,0
LL Tsotsobe,2010-2011,3,4,1,16,8,5.33,35,45.71,0,0,2,2,0
R McLaren,2014-2014,1,2,0,14,8,7,52,26.92,0,0,0,1,0
DL Piedt,2014-2014,1,1,0,13,13,13,28,46.42,0,0,0,0,0
WD Parnell,2014-2014,1,1,0,10,10,10,37,27.02,0,0,0,1,0
M de Lange,2011-2012,2,2,0,9,9,4.5,19,47.36,0,0,1,2,0
DJ Vilas,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-,-
