Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
M Morkel,2010-2015,75,74,620.5,31,3005,131,21/05/2015,22.93,4.84,28.4,5,2
DW Steyn,2010-2015,69,69,581.3,45,2662,111,6/39,23.98,4.57,31.4,1,3
Imran Tahir,2011-2015,47,46,412.3,20,1819,82,5/45,22.18,4.4,30.1,5,1
LL Tsotsobe,2010-2013,52,51,421.2,39,1959,79,22/04/2015,24.79,4.64,32,6,0
R McLaren,2012-2014,44,41,328.3,7,1736,69,19/04/2015,25.15,5.28,28.5,5,0
RJ Peterson,2010-2014,43,42,327.4,11,1645,58,12/04/2015,28.36,5.02,33.8,3,0
JP Duminy,2010-2015,86,67,329.2,6,1729,38,29/03/2015,45.5,5.25,52,0,0
WD Parnell,2010-2015,33,30,234.4,8,1220,37,4/42,32.97,5.19,38,1,0
VD Philander,2012-2015,23,21,167.2,15,777,35,4/45,22.2,4.64,28.6,1,0
JH Kallis,2010-2014,25,18,107,4,538,19,30/03/2015,28.31,5.02,33.7,0,0
KJ Abbott,2013-2015,19,18,135.1,7,655,18,21/04/2015,36.38,4.84,45,1,0
J Botha,2010-2012,20,20,165.1,3,732,18,2/32,40.66,4.43,55,0,0
AM Phangiso,2013-2015,15,15,135.5,5,610,16,3/43,38.12,4.49,50.9,0,0
K Rabada,2015-2015,8,8,70.1,5,330,14,16/06/2015,23.57,4.7,30,0,1
F Behardien,2013-2015,34,26,95.4,2,510,13,19/03/2015,39.23,5.33,44.1,0,0
RK Kleinveldt,2013-2013,10,10,85.3,6,448,12,22/04/2015,37.33,5.23,42.7,1,0
M de Lange,2012-2015,3,3,24.5,1,111,8,4/46,13.87,4.46,18.6,1,0
CH Morris,2013-2015,7,7,44.3,1,272,8,25/02/2015,34,6.11,33.3,0,0
AB de Villiers,2010-2015,90,8,30,0,180,7,15/02/2015,25.71,6,25.7,0,0
CK Langeveldt,2010-2010,2,2,20,1,122,5,3/75,24.4,6.1,24,0,0
D Wiese,2015-2015,3,3,20,0,144,5,3/58,28.8,7.2,24,0,0
J Theron,2010-2010,2,2,14,0,67,4,18/03/2015,16.75,4.78,21,0,0
F du Plessis,2011-2015,80,11,32,0,189,2,08/01/2015,94.5,5.9,96,0,0
D Elgar,2012-2012,5,4,16,1,67,2,11/01/2015,33.5,4.18,48,0,0
JA Morkel,2010-2012,10,7,32.5,0,223,2,2/35,111.5,6.79,98.5,0,0
RR Rossouw,2014-2015,26,3,7.3,0,44,1,17/01/2015,44,5.86,45,0,0
M Shezi,2014-2014,1,1,6,2,8,1,08/01/2015,8,1.33,36,0,0
CA Ingram,2010-2013,29,1,1,0,17,0,-,-,17,-,0,0
HM Amla,2010-2015,93,-,-,-,-,-,-,-,-,-,-,-
MV Boucher,2011-2011,3,-,-,-,-,-,-,-,-,-,-,-
H Davids,2013-2013,2,-,-,-,-,-,-,-,-,-,-,-
Q de Kock,2013-2015,50,-,-,-,-,-,-,-,-,-,-,-
DA Miller,2010-2015,74,-,-,-,-,-,-,-,-,-,-,-
JL Ontong,2012-2012,2,-,-,-,-,-,-,-,-,-,-,-
AN Petersen,2012-2013,7,-,-,-,-,-,-,-,-,-,-,-
GC Smith,2010-2013,41,-,-,-,-,-,-,-,-,-,-,-
MN van Wyk,2011-2015,11,-,-,-,-,-,-,-,-,-,-,-
