Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
AB de Villiers,2010-2015,90,86,17,4434,162,64.26,4079,108.7,13,25,1,361,105
HM Amla,2010-2015,93,91,6,4387,159,51.61,4953,88.57,16,20,2,441,30
F du Plessis,2011-2015,80,77,8,2626,126,38.05,3128,83.95,4,19,1,220,33
JP Duminy,2010-2015,86,79,17,2525,150,40.72,2951,85.56,3,14,2,152,43
Q de Kock,2013-2015,50,50,2,1841,135,38.35,2103,87.54,7,5,1,210,19
DA Miller,2010-2015,74,67,18,1686,138,34.4,1720,98.02,2,7,7,127,45
GC Smith,2010-2013,41,40,1,1198,125,30.71,1671,71.69,2,6,0,113,7
RR Rossouw,2014-2015,26,25,2,826,132,35.91,871,94.83,2,4,5,82,19
JH Kallis,2010-2014,25,25,1,741,83,30.87,982,75.45,0,8,2,60,9
CA Ingram,2010-2013,29,28,3,719,105,28.76,898,80.06,2,3,5,74,8
F Behardien,2013-2015,34,28,7,651,70,31,653,99.69,0,4,2,52,15
R McLaren,2012-2014,44,33,13,448,71,22.4,620,72.25,0,1,1,38,6
RJ Peterson,2010-2014,43,26,10,409,68,25.56,494,82.79,0,1,3,37,3
WD Parnell,2010-2015,33,21,8,295,56,22.69,368,80.16,0,1,1,25,4
J Botha,2010-2012,20,18,7,254,44,23.09,275,92.36,0,0,0,23,2
MN van Wyk,2011-2015,11,11,1,230,58,23,323,71.2,0,2,0,28,3
DW Steyn,2010-2015,69,31,5,200,23,7.69,354,56.49,0,0,4,20,4
JA Morkel,2010-2012,10,8,2,160,41,26.66,164,97.56,0,0,0,13,6
AN Petersen,2012-2013,7,7,0,127,37,18.14,158,80.37,0,0,0,16,1
M Morkel,2010-2015,75,30,12,112,22,6.22,172,65.11,0,0,7,10,3
RK Kleinveldt,2013-2013,10,7,0,105,43,15,124,84.67,0,0,1,9,5
D Elgar,2012-2012,5,4,0,93,42,23.25,158,58.86,0,0,0,4,0
VD Philander,2012-2015,23,14,5,78,30,8.66,130,60,0,0,3,7,0
Imran Tahir,2011-2015,47,16,8,74,23,9.25,107,69.15,0,0,1,8,1
KJ Abbott,2013-2015,19,8,2,60,23,10,93,64.51,0,0,0,6,0
LL Tsotsobe,2010-2013,52,20,12,52,16,6.5,107,48.59,0,0,3,6,1
AM Phangiso,2013-2015,15,9,2,46,18,6.57,82,56.09,0,0,3,4,0
D Wiese,2015-2015,3,3,0,34,14,11.33,47,72.34,0,0,0,1,2
K Rabada,2015-2015,8,4,2,30,19,15,53,56.6,0,0,0,4,0
CH Morris,2013-2015,7,4,1,25,12,8.33,38,65.78,0,0,0,3,0
MV Boucher,2011-2011,3,3,1,22,13,11,23,95.65,0,0,0,2,0
JL Ontong,2012-2012,2,1,1,17,17,-,19,89.47,0,0,0,3,0
H Davids,2013-2013,2,2,0,8,7,4,24,33.33,0,0,0,0,0
J Theron,2010-2010,2,1,0,5,5,5,5,100,0,0,0,0,0
CK Langeveldt,2010-2010,2,1,1,4,4,-,2,200,0,0,0,1,0
M de Lange,2012-2015,3,-,-,-,-,-,-,-,-,-,-,-,-
M Shezi,2014-2014,1,-,-,-,-,-,-,-,-,-,-,-,-
