Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,BBM,Ave,Econ,SR,5,10
KM Jarvis,2011-2013,8,14,261.3,47,952,*30*,5/54,7/115,31.73,3.64,52.3,2,0
T Panyangara,2013-2014,6,12,225.4,66,527,*23*,5/59,7/89,22.91,2.33,58.8,1,0
TL Chatara,2013-2014,7,13,241.1,70,585,*20*,5/61,6/106,29.25,2.42,72.3,1,0
SW Masakadza,2012-2014,5,9,176.1,34,515,*16*,4/32,5/58,32.18,2.92,66,0,0
E Chigumbura,2011-2014,8,14,162.5,39,468,*12*,4/21/2015,4/55,39,2.87,81.4,0,0
CB Mpofu,2011-2011,3,5,103,21,333,*12*,4/92,5/123,27.75,3.23,51.5,0,0
BV Vitori,2011-2013,4,7,138.5,25,464,*12*,5/61,6/130,38.66,3.34,69.4,1,0
AG Cremer,2012-2013,5,7,124.2,14,500,*11*,4/4/2015,4/4/2015,45.45,4.02,67.8,0,0
H Masakadza,2011-2014,14,13,128,34,321,*11*,3/24/2015,3/24/2015,29.18,2.5,69.8,0,0
RW Price,2011-2013,4,7,166.4,44,410,*11*,2/34,4/104,37.27,2.46,90.9,0,0
P Utseya,2013-2013,3,5,113.3,14,355,*10*,3/60,5/192,35.5,3.12,68.1,0,0
N M'shangwe,2014-2014,2,4,131.4,16,435,*7*,4/82,5/209,62.14,3.3,112.8,0,0
MN Waller,2011-2014,9,3,53,8,132,*6*,4/59,6/124,22,2.49,53,0,0
J Nyumbu,2014-2014,2,4,69.3,8,250,*5*,5/157,5/181,50,3.59,83.4,1,0
Sikandar Raza,2013-2014,4,6,82,4,303,*5*,3/123,4/237,60.6,3.69,98.4,0,0
KO Meth,2013-2013,2,3,54,18,98,*4*,2/41,2/41,24.5,1.81,81,0,0
GA Lamb,2011-2011,1,2,32,2,141,*3*,3/120,3/141,47,4.4,64,0,0
DT Tiripano,2014-2014,1,1,26,8,65,*2*,2/65,2/65,32.5,2.5,78,0,0
SC Williams,2013-2014,2,3,28.4,2,113,*2*,2/95,2/104,56.5,3.94,86,0,0
T Kamungozi,2014-2014,1,2,26,6,58,*1*,1/51,1/58,58,2.23,156,0,0
N Ncube,2011-2011,1,2,35,4,121,*1*,1/80,1/121,121,3.45,210,0,0
BB Chari,2014-2014,2,1,2,0,9,*0*,-,-,-,4.5,-,0,0
RW Chakabva,2011-2014,8,-,-,-,-,*-*,-,-,-,-,-,-,-
CR Ervine,2011-2014,7,-,-,-,-,*-*,-,-,-,-,-,-,-
T Maruma,2013-2013,1,-,-,-,-,*-*,-,-,-,-,-,-,-
TMK Mawoyo,2011-2013,8,-,-,-,-,*-*,-,-,-,-,-,-,-
F Mutizwa,2012-2012,1,-,-,-,-,*-*,-,-,-,-,-,-,-
R Mutumbami,2013-2014,6,-,-,-,-,*-*,-,-,-,-,-,-,-
V Sibanda,2011-2014,11,-,-,-,-,*-*,-,-,-,-,-,-,-
T Taibu,2011-2012,4,-,-,-,-,*-*,-,-,-,-,-,-,-
BRM Taylor,2011-2014,13,-,-,-,-,*-*,-,-,-,-,-,-,-
MA Vermeulen,2014-2014,1,-,-,-,-,*-*,-,-,-,-,-,-,-
