Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
P Utseya,2010-2015,48,48,449,15,2160,46,5/36,46.95,4.81,58.5,1,1
TL Chatara,2013-2015,27,27,244,19,1269,37,3/35,34.29,5.2,39.5,0,0
T Panyangara,2011-2015,36,36,309.5,25,1829,32,3/66,57.15,5.9,58,0,0
RW Price,2010-2012,23,23,215,18,917,26,16/03/2015,35.26,4.26,49.6,0,0
BV Vitori,2011-2015,19,19,161.2,4,946,26,20/05/2015,36.38,5.86,37.2,0,2
CB Mpofu,2010-2015,23,23,193.5,10,1081,24,4/62,45.04,5.57,48.4,1,0
SC Williams,2011-2015,45,41,282,11,1395,24,3/72,58.12,4.94,70.5,0,0
E Chigumbura,2010-2015,71,39,198,1,1112,18,3/39,61.77,5.61,66,0,0
KM Jarvis,2011-2013,15,15,134,8,799,17,18/02/2015,47,5.96,47.2,0,0
SW Masakadza,2010-2014,12,12,104.1,4,654,17,4/46,38.47,6.27,36.7,2,0
J Nyumbu,2014-2015,19,18,140.4,3,738,17,3/42,43.41,5.24,49.6,0,0
AG Cremer,2010-2015,19,19,145,2,771,15,31/03/2015,51.4,5.31,58,0,0
N Madziva,2014-2015,8,8,61,0,384,13,4/49,29.53,6.29,28.1,1,0
H Masakadza,2010-2015,62,38,134.1,1,668,13,27/02/2015,51.38,4.97,61.9,0,0
Sikandar Raza,2013-2015,45,24,111,2,602,12,3/49,50.16,5.42,55.5,0,0
DT Tiripano,2014-2015,7,7,56.5,5,324,12,5/63,27,5.7,28.4,0,1
WP Masakadza,2015-2015,6,6,53.1,5,241,10,21/04/2015,24.1,4.53,31.9,1,0
LM Jongwe,2014-2015,12,12,79,6,430,9,16/03/2015,47.77,5.44,52.6,0,0
CJ Chibhabha,2010-2015,32,22,93,7,446,8,25/02/2015,55.75,4.79,69.7,0,0
T Kamungozi,2014-2015,10,10,76,1,385,7,2/36,55,5.06,65.1,0,0
TS Chisoro,2015-2015,3,3,25,2,97,6,16/03/2015,16.16,3.88,25,0,0
CT Mutombodzi,2013-2015,9,7,45.5,0,238,6,2/33,39.66,5.19,45.8,0,0
KO Meth,2010-2012,6,6,49.4,1,323,5,2/52,64.6,6.5,59.6,0,0
SF Mire,2014-2015,10,8,35.3,0,230,5,3/49,46,6.47,42.6,0,0
MN Waller,2011-2015,34,19,54,0,257,5,09/01/2015,51.4,4.75,64.8,0,0
GA Lamb,2011-2011,6,6,40,0,200,4,21/02/2015,50,5,60,0,0
N M'shangwe,2011-2014,6,6,56,4,260,3,2/50,86.66,4.64,112,0,0
N Ncube,2011-2011,1,1,8.5,1,69,3,3/69,23,7.81,17.6,0,0
KM Dabengwa,2010-2010,4,4,22,0,112,2,17/01/2015,56,5.09,66,0,0
T Mupariwa,2015-2015,4,4,35,1,201,2,1/36,100.5,5.74,105,0,0
T Muzarabani,2015-2015,1,1,9.5,1,43,2,2/43,21.5,4.37,29.5,0,0
MT Chinouya,2013-2013,2,2,11,0,50,1,1/36,50,4.54,66,0,0
IA Nicolson,2010-2010,1,1,7,0,74,1,1/74,74,10.57,42,0,0
V Sibanda,2011-2015,39,4,21.3,0,117,1,1/45,117,5.44,129,0,0
T Maruma,2013-2014,8,2,3,0,26,0,-,-,8.66,-,0,0
BRM Taylor,2010-2015,60,6,19,0,106,0,-,-,5.57,-,0,0
RW Chakabva,2010-2015,31,-,-,-,-,-,-,-,-,-,-,-
BB Chari,2015-2015,4,-,-,-,-,-,-,-,-,-,-,-
CK Coventry,2011-2015,5,-,-,-,-,-,-,-,-,-,-,-
CR Ervine,2010-2015,31,-,-,-,-,-,-,-,-,-,-,-
R Kaia,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-
S Matsikenyeri,2012-2015,4,-,-,-,-,-,-,-,-,-,-,-
TMK Mawoyo,2012-2014,5,-,-,-,-,-,-,-,-,-,-,-
PJ Moor,2014-2014,2,-,-,-,-,-,-,-,-,-,-,-
F Mutizwa,2011-2011,8,-,-,-,-,-,-,-,-,-,-,-
R Mutumbami,2014-2015,20,-,-,-,-,-,-,-,-,-,-,-
T Taibu,2010-2012,25,-,-,-,-,-,-,-,-,-,-,-
