Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
MG Johnson,2010-2015,71,70,582,34,2746,111,6/31,24.73,4.71,31.4,5,1
MA Starc,2010-2015,45,45,355.3,20,1718,90,28/06/2015,19.08,4.83,23.7,6,5
CJ McKay,2010-2014,46,46,381.1,28,1807,72,28/05/2015,25.09,4.74,31.7,3,2
JP Faulkner,2013-2015,44,43,328.4,9,1815,60,4/48,30.25,5.52,32.8,2,0
B Lee,2011-2012,35,35,284.3,21,1421,56,15/04/2015,25.37,4.99,30.4,3,0
XJ Doherty,2010-2015,60,56,465.2,17,2224,55,28/04/2015,40.43,4.77,50.7,3,0
SR Watson,2010-2015,76,66,402.3,13,2046,50,25/03/2015,40.92,5.08,48.3,0,0
GJ Maxwell,2012-2015,55,48,274.4,6,1507,42,4/46,35.88,5.48,39.2,2,0
PJ Cummins,2011-2015,18,18,146.1,5,832,33,4/49,25.21,5.69,26.5,2,0
NM Coulter-Nile,2013-2015,13,13,108.4,3,583,22,4/48,26.5,5.36,29.6,1,0
DE Bollinger,2011-2011,13,13,109,5,552,20,28/04/2015,27.6,5.06,32.7,2,0
DT Christian,2012-2014,19,19,121.1,4,595,20,31/05/2015,29.75,4.91,36.3,0,1
MR Marsh,2011-2015,23,22,106,2,578,19,5/33,30.42,5.45,33.4,1,1
JR Hazlewood,2013-2015,12,12,94.1,10,404,18,31/05/2015,22.44,4.29,31.3,1,1
SPD Smith,2010-2015,58,28,121.3,1,612,18,16/03/2015,34,5.03,40.5,0,0
JL Pattinson,2011-2015,15,15,121.1,6,681,16,4/51,42.56,5.62,45.4,1,0
SW Tait,2011-2011,10,10,75.5,4,401,16,3/35,25.06,5.28,28.4,0,0
DJ Hussey,2011-2013,46,27,90.5,1,468,15,21/04/2015,31.2,5.15,36.3,2,0
BW Hilfenhaus,2012-2012,10,10,76.2,5,358,11,5/33,32.54,4.68,41.6,0,1
NM Lyon,2012-2014,8,8,73,7,330,11,4/44,30,4.52,39.8,1,0
JW Hastings,2010-2015,12,12,97.2,2,443,9,21/03/2015,49.22,4.55,64.8,0,0
KW Richardson,2013-2014,8,8,63,6,299,8,2/36,37.37,4.74,47.2,0,0
JJ Krejza,2011-2011,8,8,70.5,0,331,7,28/02/2015,47.28,4.67,60.7,0,0
MJ Clarke,2010-2015,66,24,58.3,0,260,5,03/01/2015,52,4.44,70.2,0,0
BCJ Cutting,2013-2014,4,4,36,1,158,5,3/45,31.6,4.38,43.2,0,0
AC Voges,2011-2013,17,7,25.1,1,117,5,03/01/2015,23.4,4.64,30.2,0,0
MC Henriques,2013-2015,4,3,19,1,73,4,3/32,18.25,3.84,28.5,0,0
Fawad Ahmed,2013-2013,3,3,24,0,145,3,1/39,48.33,6.04,48,0,0
RJ Harris,2012-2012,4,4,31,0,171,3,1/43,57,5.51,62,0,0
GS Sandhu,2015-2015,2,2,20,0,107,3,2/49,35.66,5.35,40,0,0
AC Agar,2015-2015,2,2,11,0,57,2,12/01/2015,28.5,5.18,33,0,0
AJ Finch,2013-2015,52,6,9.1,0,48,2,02/01/2015,24,5.23,27.5,0,0
SA Abbott,2014-2014,1,1,5,0,25,1,25/01/2015,25,5,30,0,0
NM Hauritz,2010-2011,2,2,17,0,84,1,1/48,84,4.94,102,0,0
PM Siddle,2010-2010,2,2,15.1,1,82,1,1/51,82,5.4,91,0,0
MEK Hussey,2010-2012,38,1,1,0,8,0,-,-,8,-,0,0
MP Stoinis,2015-2015,1,1,4,0,17,0,-,-,4.25,-,0,0
DA Warner,2011-2015,58,1,1,0,8,0,-,-,8,-,0,0
CL White,2010-2015,19,1,1,0,6,0,-,-,6,-,0,0
GJ Bailey,2012-2015,63,-,-,-,-,-,-,-,-,-,-,-
JA Burns,2015-2015,6,-,-,-,-,-,-,-,-,-,-,-
CJ Ferguson,2010-2011,5,-,-,-,-,-,-,-,-,-,-,-
PJ Forrest,2012-2012,15,-,-,-,-,-,-,-,-,-,-,-
