Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
AN Cook,2010-2015,59,105,6,4966,294,50.16,11097,44.75,14,22,4,564,6
IR Bell,2010-2015,58,99,13,3706,235,43.09,7424,49.91,11,22,6,463,21
KP Pietersen,2010-2014,38,64,2,2875,227,46.37,4734,60.73,7,15,4,358,28
JE Root,2012-2015,32,58,8,2733,200,54.66,5227,52.28,8,13,2,304,12
IJL Trott,2010-2015,39,70,4,2680,203,40.6,5691,47.09,6,15,8,326,0
MJ Prior,2010-2014,44,68,11,2203,126,38.64,3613,60.97,4,13,7,271,8
SCJ Broad,2010-2015,52,75,8,1323,74,19.74,1774,74.57,0,5,14,169,22
AJ Strauss,2010-2012,23,38,0,1260,141,33.15,2861,44.04,3,6,4,153,1
GS Ballance,2014-2015,15,27,2,1194,156,47.76,2498,47.79,4,6,3,153,8
BA Stokes,2013-2015,16,28,0,884,120,31.57,1386,63.78,2,4,6,124,12
MM Ali,2014-2015,16,25,1,749,108,31.2,1526,49.08,1,4,2,115,5
GP Swann,2010-2013,36,45,9,717,56,19.91,991,72.35,0,1,3,99,10
JM Bairstow,2012-2015,17,28,2,711,95,27.34,1406,50.56,0,5,1,92,5
JC Buttler,2014-2015,13,20,3,596,85,35.05,1025,58.14,0,5,1,79,8
JM Anderson,2010-2015,55,77,20,511,81,8.96,1109,46.07,0,1,13,77,1
NRD Compton,2012-2013,9,17,2,479,117,31.93,1381,34.68,2,1,1,49,2
TT Bresnan,2010-2013,18,23,4,450,90,23.68,1116,40.32,0,2,3,58,1
EJG Morgan,2011-2012,10,16,1,444,104,29.6,791,56.13,1,3,3,47,5
SD Robson,2014-2014,7,11,0,336,127,30.54,755,44.5,1,1,0,42,1
MA Carberry,2013-2014,5,10,0,281,60,28.1,695,40.43,0,1,2,45,1
A Lyth,2015-2015,7,13,0,265,107,20.38,529,50.09,1,0,1,40,1
CJ Jordan,2014-2015,8,11,1,180,35,18,320,56.25,0,0,0,24,1
ST Finn,2010-2015,18,24,11,165,56,12.69,524,31.48,0,1,4,21,0
MA Wood,2015-2015,6,11,5,151,32,25.16,225,67.11,0,0,0,25,1
LE Plunkett,2014-2014,4,7,3,112,55,28,191,58.63,0,1,1,15,0
SR Patel,2012-2012,5,7,0,109,33,15.57,257,42.41,0,0,1,10,1
PD Collingwood,2010-2011,5,6,0,83,42,13.83,178,46.62,0,0,0,8,0
CR Woakes,2013-2014,4,5,3,75,26,37.5,137,54.74,0,0,1,9,0
RS Bopara,2011-2012,3,4,1,73,44,24.33,151,48.34,0,0,1,7,0
CT Tremlett,2010-2013,9,10,3,63,24,9,185,34.05,0,0,1,7,0
JWA Taylor,2012-2012,2,3,0,48,34,16,152,31.57,0,0,0,6,0
MS Panesar,2012-2013,11,17,6,33,13,3,114,28.94,0,0,6,3,0
WB Rankin,2014-2014,1,2,0,13,13,6.5,24,54.16,0,0,1,2,0
JC Tredwell,2015-2015,1,1,0,8,8,8,24,33.33,0,0,0,0,0
SG Borthwick,2014-2014,1,2,0,5,4,2.5,19,26.31,0,0,0,1,0
SC Kerrigan,2013-2013,1,1,1,1,1,-,12,8.33,0,0,0,0,0
G Onions,2012-2012,1,-,-,-,-,-,-,-,-,-,-,-,-
