Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,BBM,Ave,Econ,SR,5,10
JM Anderson,2010-2015,55,106,2174.5,559,6164,225,6/42,10/158,27.39,2.83,57.9,8,1
SCJ Broad,2010-2015,52,97,1870.4,409,5655,211,8/15/2015,11/121,26.8,3.02,53.1,11,2
GP Swann,2010-2013,36,67,1538.5,276,4641,142,6/82,10/132,32.68,3.01,65,8,2
ST Finn,2010-2015,18,32,605.5,95,2173,70,6/79,8/117,31.04,3.58,51.9,3,0
TT Bresnan,2010-2013,18,32,614.4,138,1865,58,5/48,8/141,32.15,3.03,63.5,1,0
MM Ali,2014-2015,16,27,420.4,56,1622,45,6/67,8/129,36.04,3.85,56,1,0
MS Panesar,2012-2013,11,20,572.1,160,1466,41,6/62,11/210,35.75,2.56,83.7,4,1
BA Stokes,2013-2015,16,29,434.4,76,1622,40,6/36,8/161,40.55,3.73,65.2,2,0
CT Tremlett,2010-2013,9,17,340.3,78,1045,40,6/48,8/150,26.12,3.06,51,2,0
CJ Jordan,2014-2015,8,16,255,74,752,21,4/18/2015,7/50,35.8,2.94,72.8,0,0
MA Wood,2015-2015,6,11,191.4,42,690,19,3/69,5/159,36.31,3.6,60.5,0,0
LE Plunkett,2014-2014,4,8,186.5,31,620,18,5/64,9/176,34.44,3.31,62.2,1,0
JE Root,2012-2015,32,33,171.3,44,497,12,2/9/2015,2/9/2015,41.41,2.89,85.7,0,0
KP Pietersen,2010-2014,38,21,78,5,318,6,3/52,4/78,53,4.07,78,0,0
CR Woakes,2013-2014,4,7,95,28,313,6,3/30/2015,4/54,52.16,3.29,95,0,0
JC Tredwell,2015-2015,1,2,66,26,140,5,4/47,5/140,28,2.12,79.2,0,0
SG Borthwick,2014-2014,1,2,13,0,82,4,3/33,4/82,20.5,6.3,19.5,0,0
G Onions,2012-2012,1,1,29.3,7,88,4,4/88,4/88,22,2.98,44.2,0,0
SR Patel,2012-2012,5,8,101,19,257,4,2/27/2015,2/36,64.25,2.54,151.5,0,0
IJL Trott,2010-2015,39,27,99,11,314,4,1/5/2015,1/5/2015,78.5,3.17,148.5,0,0
PD Collingwood,2010-2011,5,6,31,6,73,2,1/3/2015,1/5/2015,36.5,2.35,93,0,0
AN Cook,2010-2015,59,1,2,0,6,1,1/6/2015,1/6/2015,6,3,12,0,0
WB Rankin,2014-2014,1,2,20.5,0,81,1,1/47,1/81,81,3.88,125,0,0
GS Ballance,2014-2015,15,2,2,1,5,0,-,-,-,2.5,-,0,0
RS Bopara,2011-2012,3,3,23,3,91,0,-,-,-,3.95,-,0,0
SC Kerrigan,2013-2013,1,1,8,0,53,0,-,-,-,6.62,-,0,0
A Lyth,2015-2015,7,1,1,1,0,0,-,-,-,0,-,0,0
JM Bairstow,2012-2015,17,-,-,-,-,-,-,-,-,-,-,-,-
IR Bell,2010-2015,58,-,-,-,-,-,-,-,-,-,-,-,-
JC Buttler,2014-2015,13,-,-,-,-,-,-,-,-,-,-,-,-
MA Carberry,2013-2014,5,-,-,-,-,-,-,-,-,-,-,-,-
NRD Compton,2012-2013,9,-,-,-,-,-,-,-,-,-,-,-,-
EJG Morgan,2011-2012,10,-,-,-,-,-,-,-,-,-,-,-,-
MJ Prior,2010-2014,44,-,-,-,-,-,-,-,-,-,-,-,-
SD Robson,2014-2014,7,-,-,-,-,-,-,-,-,-,-,-,-
AJ Strauss,2010-2012,23,-,-,-,-,-,-,-,-,-,-,-,-
JWA Taylor,2012-2012,2,-,-,-,-,-,-,-,-,-,-,-,-
