Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,BBM,Ave,Econ,SR,5,10
NM Lyon,2011-2015,46,89,1747,339,5524,162,7/94,12/286,34.09,3.16,64.7,7,1
MG Johnson,2010-2015,35,66,1193.1,242,3988,148,7/40,12/127,26.94,3.34,48.3,7,1
PM Siddle,2010-2015,40,74,1391.4,373,4023,138,6/54,9/104,29.15,2.89,60.5,6,0
RJ Harris,2010-2015,25,48,885.3,245,2451,104,7/117,9/106,23.56,2.76,51,5,0
MA Starc,2011-2015,22,42,725.2,137,2481,78,6/111,8/209,31.8,3.42,55.7,4,0
BW Hilfenhaus,2010-2012,16,29,622.2,168,1592,57,5/75,8/97,27.92,2.55,65.5,2,0
JL Pattinson,2011-2014,13,23,425,96,1381,51,5/27/2015,8/105,27.07,3.24,50,3,0
JR Hazlewood,2014-2015,9,17,294.1,75,870,40,5/38,7/56,21.75,2.95,44.1,2,0
SR Watson,2010-2015,39,61,583.2,176,1478,37,5/17/2015,5/30/2015,39.94,2.53,94.5,1,0
JM Bird,2012-2013,3,6,105.3,36,303,13,4/41,7/117,23.3,2.87,48.6,0,0
SPD Smith,2010-2015,31,27,151,11,710,13,3/18/2015,4/83,54.61,4.7,69.6,0,0
MJ Clarke,2010-2015,53,25,133.1,16,402,11,5/86,5/104,36.54,3.01,72.6,1,0
MR Marsh,2014-2015,7,13,105.1,27,313,9,3/30/2015,5/86,34.77,2.97,70.1,0,0
PJ Cummins,2011-2011,1,2,44,8,117,7,6/79,7/117,16.71,2.65,37.7,1,0
XJ Doherty,2010-2013,4,6,153,36,548,7,3/131,3/131,78.28,3.58,131.1,0,0
GJ Maxwell,2013-2014,3,4,57,4,271,7,4/127,4/127,38.71,4.75,48.8,0,0
DE Bollinger,2010-2010,2,3,53,3,211,6,3/32,5/81,35.16,3.98,53,0,0
TA Copeland,2011-2011,3,6,108,34,227,6,2/24/2015,3/87,37.83,2.1,108,0,0
JP Faulkner,2013-2013,1,2,27.4,4,98,6,4/51,6/98,16.33,3.54,27.6,0,0
NM Hauritz,2010-2010,2,4,90,9,390,6,2/116,3/161,65,4.33,90,0,0
MEK Hussey,2010-2013,27,23,68,7,203,5,1/0,2/2/2015,40.6,2.98,81.6,0,0
SNJ O'Keefe,2014-2014,1,2,57,6,219,4,2/107,4/219,54.75,3.84,85.5,0,0
DA Warner,2011-2015,43,17,55,1,254,4,2/45,2/45,63.5,4.61,82.5,0,0
MA Beer,2011-2012,2,3,67.4,13,178,3,2/56,2/66,59.33,2.63,135.3,0,0
AC Agar,2013-2013,2,4,84,17,248,2,2/82,2/106,124,2.95,252,0,0
PR George,2010-2010,1,2,28,3,77,2,2/48,2/77,38.5,2.75,84,0,0
MC Henriques,2013-2013,3,3,53,12,155,2,1/48,1/48,77.5,2.92,159,0,0
MJ North,2010-2010,4,5,54,6,157,2,1/39,1/47,78.5,2.9,162,0,0
JW Hastings,2012-2012,1,2,39,3,153,1,1/51,1/153,153,3.92,234,0,0
